trial_index,arm_name,trial_status,generation_method,TOTAL_RMSE,betaStar,sigmaOmega1,sigmaOmega2
0,0_0,COMPLETED,Manual,14.892201262697139,0.09,0.5,0.856
1,1_0,COMPLETED,Manual,14.783879883022014,0.11771830081939698,0.5123859286308289,0.7448952572345733
2,2_0,COMPLETED,Manual,14.849035873343762,0.05879643544554711,0.4235952913761139,0.8562350478768348
3,3_0,COMPLETED,Manual,14.833491858315751,0.07692515857517719,0.5945613663643599,0.8115444962084293
4,4_0,COMPLETED,Manual,14.900662685563077,0.09585666842758656,0.4819365257397294,0.9341342871189118
5,5_0,COMPLETED,Manual,14.912429590575147,0.10503554542097225,0.5723664859307134,0.730182550461256
6,6_0,COMPLETED,Manual,14.351269204418541,0.12395389425880628,0.5012908062741086,0.733392790239503
7,7_0,COMPLETED,Manual,14.783898240410796,0.1199682455396507,0.5171386737732502,0.8481593024400778
8,8_0,COMPLETED,Manual,14.57531284213221,0.1259106644213064,0.4977196378393798,0.7286890273250077
9,9_0,COMPLETED,Manual,14.645118275713784,0.12388747863880833,0.47220554437371115,0.712
10,10_0,COMPLETED,Fallback_Sobol,14.877482530057655,0.09007463455200196,0.5914746403694153,0.7543650279045104
11,11_0,COMPLETED,Sobol,14.786028282658904,0.06523157715797424,0.5708269238471985,0.8055431509017944
