trial_index,arm_name,trial_status,generation_method,TOTAL_RMSE,betaStar,sigmaOmega1,sigmaOmega2
0,0_0,COMPLETED,Manual,14.892201262697139,0.09,0.5,0.856
1,1_0,COMPLETED,Manual,14.783879883022014,0.11771830081939698,0.5123859286308289,0.7448952572345733
2,2_0,COMPLETED,Manual,14.849035873343762,0.05879643544554711,0.4235952913761139,0.8562350478768348
3,3_0,COMPLETED,Manual,14.833491858315751,0.07692515857517719,0.5945613663643599,0.8115444962084293
4,4_0,COMPLETED,Manual,14.900662685563077,0.09585666842758656,0.4819365257397294,0.9341342871189118
5,5_0,COMPLETED,Manual,14.912429590575147,0.10503554542097225,0.5723664859307134,0.730182550461256
6,6_0,COMPLETED,Manual,14.351269204418541,0.12395389425880628,0.5012908062741086,0.733392790239503
7,7_0,COMPLETED,Manual,14.783898240410796,0.1199682455396507,0.5171386737732502,0.8481593024400778
8,8_0,COMPLETED,Manual,14.57531284213221,0.1259106644213064,0.4977196378393798,0.7286890273250077
9,9_0,COMPLETED,Manual,14.645118275713784,0.12388747863880833,0.47220554437371115,0.712
10,10_0,COMPLETED,Fallback_Sobol,14.889396245088832,0.09827579021453858,0.4630455791950226,0.9677257900238037
11,11_0,COMPLETED,Sobol,14.870126571297398,0.10821744441986084,0.5836842656135559,0.7466576209068299
12,12_0,COMPLETED,BoTorch,14.727229732520168,0.1232131966278445,0.5066378832444305,0.7129756851216349
13,13_0,COMPLETED,BoTorch,14.7066144021612,0.12348217613338763,0.5023817765675516,0.7680548647537297
14,14_0,COMPLETED,BoTorch,15.121791943961018,0.13,0.5053380504469764,0.712
15,15_0,COMPLETED,BoTorch,15.402783781797892,0.12356397630360773,0.482915380182781,0.7379072997346087
16,16_0,COMPLETED,BoTorch,14.646409567172757,0.12370452981333546,0.5163595960655305,0.7403538965013252
17,17_0,COMPLETED,BoTorch,15.007469790968694,0.13,0.4,0.712
18,18_0,COMPLETED,BoTorch,14.804725151976822,0.05,0.5011357542581157,0.712
19,19_0,COMPLETED,BoTorch,15.708591917194507,0.13,0.586975939069237,1.0
