"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
29.79,2.4532,1.7086,1.2359,0.00303,311.54,-52.827,0,0.33,0.096929,-0.17372
30.941,1.7759,0.99313,0.17512,0.0010679,102.12,-45.219,0,0.33,0.096944,-0.19848
27.187,2.8935,1.2823,2.9603,0.0038951,560.77,-55.199,0,0.33,0.072651,-0.17356
30.198,2.0871,0.54051,0.58979,0.0016439,227.24,-48.478,0,0.33,0.072663,-0.19832
-1.751,-0.43588,-5.3106,9.2804,0.0077954,878.68,-89.113,0,0.33,0.024153,-0.099047
-0.95353,1.0462,-3.0783,9.0788,0.0058395,984.59,-77.989,0,0.33,0.024162,-0.12382
-1.7348,-0.58137,-6.4099,7.5568,0.0020499,1003.8,-72.2,0,0.33,0.0018109,-0.12374
-1.2347,-1.6098,-8.5391,7.6105,0.0021525,999.22,-82.852,0,0.33,0.0017241,-0.098991
5.987,1.3587,3.6826,16.665,0.016888,950.95,-92.649,0,0.33,0.0726,-0.099125
14.508,1.102,4.5551,15.828,0.015755,987.2,-81.478,0,0.33,0.096836,-0.099156
11.266,2.8043,3.9356,14.984,0.013147,1058.5,-84.037,0,0.33,0.072608,-0.12392
19.603,2.361,4.143,12.011,0.012521,920.28,-74.856,0,0.33,0.096848,-0.12398
27.894,0.58255,4.281,2.1661,0.0029417,512.01,-20.955,0,0.33,0.19421,-0.099238
28.337,0.078778,4.4408,1.1114,0.0017694,394.43,-11.596,0,0.33,0.21859,-0.099287
30.072,0.84511,3.685,0.10269,0.00064278,139.34,-26.531,0,0.33,0.19422,-0.12411
29.96,0.34604,3.6925,0.040529,0.00034344,102.09,-18.628,0,0.33,0.2186,-0.12414
29.242,-1.3955,3.6849,0.10643,0.00045759,190.89,-1.0999,0,0.33,0.26737,-0.099274
29.524,-1.7347,3.0389,0.063307,0.00038578,128.04,-0.84911,0,0.33,0.29174,-0.099255
29.93,-0.82015,3.1433,0.015371,0.0002491,55.157,-9.0036,0,0.33,0.26734,-0.12413
30.013,-1.1575,2.7284,0.010484,0.0001982,36.092,-7.7224,0,0.33,0.29172,-0.12407
30.49,-0.41415,2.0474,0.0055901,5.8721e-05,3.1352,-16.599,0,0.33,0.29159,-0.17412
30.648,-0.19098,1.6937,0.0055228,7.5841e-05,1.4879,-19.274,0,0.33,0.29154,-0.19896
30.502,-0.15758,2.2149,0.0056826,5.4591e-05,4.9913,-18.575,0,0.33,0.26726,-0.17407
30.63,-0.011871,1.8485,0.0055639,6.2791e-05,2.3085,-20.762,0,0.33,0.26723,-0.19891
27.3,-4.9131,1.8725,0.44294,0.00075989,555.15,25.234,0,0.33,0.29175,-0.024755
27.064,-5.3431,-0.0038702,0.44365,0.00075305,562.34,29.336,0,0.33,0.29175,2.0479e-07
28.482,-3.8946,1.2551,0.15436,0.00044265,306.67,17.283,0,0.33,0.31606,-0.024755
28.285,-4.0877,-0.0051328,0.15912,0.00044925,314.89,19.956,0,0.33,0.31606,2.4772e-07
30.259,-1.4937,1.1081,0.0055396,6.7836e-05,2.2422,-8.7098,0,0.33,0.38905,-0.099272
30.102,-1.6927,1.5169,0.0056566,6.2942e-05,5.3019,-6.2399,0,0.33,0.36473,-0.099265
30.065,-1.7486,1.0375,0.0056069,5.9119e-05,4.1403,-5.5394,0,0.33,0.38905,-0.074459
29.883,-2.0048,1.3787,0.0059933,0.00012041,11.015,-2.5549,0,0.33,0.36474,-0.074466
29.437,-2.5389,-0.0045297,0.0086136,0.00018442,32.286,4.6533,0,0.33,0.36476,-4.4721e-08
29.865,-2.0076,-0.0038336,0.0058495,0.00010609,8.846,-1.6059,0,0.33,0.38911,7.3811e-07
29.512,-2.5102,0.57254,0.0078341,0.00017357,27.783,3.5681,0,0.33,0.36475,-0.024756
29.829,-2.0895,0.40501,0.0058577,0.0001026,9.4592,-1.0769,0,0.33,0.38909,-0.024758
28.738,-2.5929,-3.2319,0.22573,0.00063573,312.69,7.5676,0,0.33,0.29175,0.074457
29.527,-1.7223,-3.0537,0.063829,0.00038703,128.64,-0.97392,0,0.33,0.29174,0.099249
29.367,-2.5048,-2.4667,0.070592,0.00036778,157.61,4.4923,0,0.33,0.31606,0.074461
29.802,-1.8315,-2.4746,0.019487,0.0002478,58.654,-2.1795,0,0.33,0.31605,0.099258
29.829,-2.0886,-0.41308,0.0058575,0.00010252,9.4595,-1.0958,0,0.33,0.38908,0.024759
29.513,-2.5096,-0.58196,0.0078214,0.00017334,27.764,3.5428,0,0.33,0.36475,0.024756
30.104,-1.6881,-1.5248,0.005657,6.2884e-05,5.3083,-6.2944,0,0.33,0.36473,0.099264
30.261,-1.4899,-1.114,0.0055396,6.7772e-05,2.2424,-8.7462,0,0.33,0.38906,0.099267
29.885,-2.0013,-1.3881,0.005994,0.00012037,11.026,-2.6081,0,0.33,0.36473,0.074467
30.066,-1.7454,-1.0452,0.0056069,5.9051e-05,4.1401,-5.5807,0,0.33,0.38904,0.074463
30.628,-0.37628,1.6522,0.005503,8.0669e-05,1.143,-17.357,0,0.33,0.31588,-0.19898
30.519,-0.57483,1.8654,0.0055329,6.4104e-05,1.8993,-15.359,0,0.33,0.31594,-0.17413
30.295,-1.3788,1.5325,0.0055497,5.7137e-05,2.5667,-9.5011,0,0.33,0.36473,-0.12404
30.378,-1.309,1.2244,0.0055142,7.1279e-05,1.5546,-10.726,0,0.33,0.38904,-0.12405
30.478,-0.7374,1.3475,0.0054962,7.5796e-05,1.0639,-14.499,0,0.33,0.36469,-0.17385
30.505,-0.74772,1.1323,0.0054883,9.3852e-05,0.86052,-14.499,0,0.33,0.38902,-0.17382
30.559,-0.5475,1.2145,0.0054867,9.006e-05,0.81007,-15.985,0,0.33,0.36459,-0.1989
30.588,-0.58623,1.0286,0.0054796,0.00011361,0.65315,-15.643,0,0.33,0.38895,-0.19885
30.016,-1.1434,-2.7342,0.010554,0.00019897,36.315,-7.8169,0,0.33,0.29173,0.12404
30.139,-1.3173,-2.3236,0.0067779,0.00012731,16.871,-7.7555,0,0.33,0.31605,0.12407
30.491,-0.40482,-2.046,0.0055909,5.8818e-05,3.1499,-16.64,0,0.33,0.29165,0.17399
30.649,-0.18372,-1.6912,0.005523,7.5925e-05,1.4913,-19.318,0,0.33,0.29161,0.19883
30.52,-0.56684,-1.8659,0.0055332,6.4155e-05,1.9054,-15.393,0,0.33,0.31602,0.17394
30.628,-0.36984,-1.6517,0.0055031,8.0732e-05,1.1453,-17.387,0,0.33,0.316,0.19872
30.38,-1.3042,-1.229,0.0055143,7.1151e-05,1.5557,-10.763,0,0.33,0.38904,0.12405
30.297,-1.3728,-1.5379,0.0055498,5.7003e-05,2.57,-9.5511,0,0.33,0.36473,0.12404
30.479,-0.73041,-1.3498,0.0054963,7.5833e-05,1.0646,-14.524,0,0.33,0.36466,0.17389
30.56,-0.54168,-1.2162,0.0054867,9.015e-05,0.81078,-16.006,0,0.33,0.36463,0.19877
