# created from X495mm_Mean.dat file and invalid data removed,,,,
# coordinates converted to meters,,,,
# coordinate system updated to match global coordinate system,,,,
# all data is taken on the X = 495 mm plane,,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,,
# 2,3,,,
# Location across the tread, Location from wheel centre of rotation, Streamwise velocity, Cross-tread velocity, Vertical velocity
# m, m, m/s, m/s, m/s
# y, z, Vx, Vy, Vz
0.0083547,-0.1711,0,0,0
0.00996,-0.1711,0,0,0
0.011565,-0.1711,0,0,0
0.01317,-0.1711,0,0,0
0.014775,-0.1711,0,0,0
0.01638,-0.1711,0,0,0
0.017985,-0.1711,0,0,0
0.01959,-0.1711,0,0,0
0.021195,-0.1711,0,0,0
0.022801,-0.1711,0,0,0
0.024405,-0.1711,0,0,0
0.026011,-0.1711,0,0,0
0.027615,-0.1711,0,0,0
0.029221,-0.1711,0,0,0
0.030826,-0.1711,0,0,0
0.032431,-0.1711,0,0,0
0.034036,-0.1711,0,0,0
0.035641,-0.1711,0,0,0
0.037246,-0.1711,0,0,0
0.038852,-0.1711,0,0,0
0.040456,-0.1711,0,0,0
0.042062,-0.1711,0,0,0
0.043666,-0.1711,0,0,0
0.045272,-0.1711,0,0,0
0.046877,-0.1711,0,0,0
0.048482,-0.1711,0,0,0
0.050087,-0.1711,0,0,0
0.051692,-0.1711,0,0,0
0.053297,-0.1711,0,0,0
0.054903,-0.1711,0,0,0
0.056507,-0.1711,0,0,0
0.058113,-0.1711,0,0,0
0.059717,-0.1711,0,0,0
0.061323,-0.1711,0,0,0
0.062928,-0.1711,0,0,0
0.064533,-0.1711,0,0,0
0.066138,-0.1711,0,0,0
0.067743,-0.1711,0,0,0
0.069348,-0.1711,0,0,0
0.070954,-0.1711,0,0,0
0.072558,-0.1711,0,0,0
0.074164,-0.1711,0,0,0
0.075768,-0.1711,0,0,0
0.077374,-0.1711,0,0,0
0.078979,-0.1711,0,0,0
0.080584,-0.1711,0,0,0
0.082189,-0.1711,0,0,0
0.083794,-0.1711,0,0,0
0.085399,-0.1711,0,0,0
0.087005,-0.1711,0,0,0
0.088609,-0.1711,0,0,0
0.090215,-0.1711,0,0,0
0.091818,-0.1711,0,0,0
0.093427,-0.1711,0,0,0
0.095027,-0.1711,0,0,0
0.096636,-0.1711,0,0,0
0.098236,-0.1711,0,0,0
0.099845,-0.1711,0,0,0
0.10145,-0.1711,0,0,0
0.10305,-0.1711,0,0,0
0.10466,-0.1711,0,0,0
0.10626,-0.1711,0,0,0
0.10787,-0.1711,0,0,0
0.10947,-0.1711,0,0,0
0.11108,-0.1711,0,0,0
0.11268,-0.1711,0,0,0
0.11429,-0.1711,0,0,0
0.1159,-0.1711,0,0,0
0.1175,-0.1711,0,0,0
0.11911,-0.1711,0,0,0
0.12071,-0.1711,0,0,0
0.12232,-0.1711,0,0,0
0.12392,-0.1711,0,0,0
0.12553,-0.1711,0,0,0
0.12713,-0.1711,0,0,0
0.12874,-0.1711,0,0,0
0.13035,-0.1711,0,0,0
0.13195,-0.1711,0,0,0
0.13355,-0.1711,0,0,0
0.13515,-0.1711,0,0,0
0.13676,-0.1711,0,0,0
0.13836,-0.1711,0,0,0
0.13997,-0.1711,0,0,0
0.14157,-0.1711,0,0,0
0.14318,-0.1711,0,0,0
0.14479,-0.1711,0,0,0
0.14639,-0.1711,0,0,0
0.148,-0.1711,0,0,0
0.1496,-0.1711,0,0,0
0.15121,-0.1711,0,0,0
0.15281,-0.1711,0,0,0
0.15442,-0.1711,0,0,0
0.15603,-0.1711,0,0,0
0.15763,-0.1711,0,0,0
0.15924,-0.1711,0,0,0
0.16084,-0.1711,0,0,0
0.16245,-0.1711,0,0,0
0.16405,-0.1711,0,0,0
0.16565,-0.1711,0,0,0
0.16725,-0.1711,0,0,0
0.16886,-0.1711,0,0,0
0.17047,-0.1711,0,0,0
0.17207,-0.1711,0,0,0
0.17368,-0.1711,0,0,0
0.17528,-0.1711,0,0,0
0.17689,-0.1711,0,0,0
0.17849,-0.1711,0,0,0
0.1801,-0.1711,0,0,0
0.1817,-0.1711,0,0,0
0.18331,-0.1711,0,0,0
0.18492,-0.1711,0,0,0
0.18652,-0.1711,0,0,0
0.18813,-0.1711,0,0,0
0.18973,-0.1711,0,0,0
0.19134,-0.1711,0,0,0
0.19294,-0.1711,0,0,0
0.19455,-0.1711,0,0,0
0.19615,-0.1711,0,0,0
0.19775,-0.1711,0,0,0
0.19936,-0.1711,0,0,0
0.20096,-0.1711,0,0,0
0.20257,-0.1711,0,0,0
0.20417,-0.1711,0,0,0
0.20578,-0.1711,0,0,0
0.20738,-0.1711,0,0,0
0.20899,-0.1711,0,0,0
0.2106,-0.1711,0,0,0
0.2122,-0.1711,0,0,0
0.21381,-0.1711,0,0,0
0.21541,-0.1711,0,0,0
0.21702,-0.1711,0,0,0
0.21862,-0.1711,0,0,0
0.22023,-0.1711,0,0,0
0.22183,-0.1711,0,0,0
0.22344,-0.1711,0,0,0
0.22505,-0.1711,0,0,0
0.22665,-0.1711,0,0,0
0.22825,-0.1711,0,0,0
0.22985,-0.1711,0,0,0
0.23146,-0.1711,0,0,0
0.23306,-0.1711,0,0,0
0.23467,-0.1711,0,0,0
0.23628,-0.1711,0,0,0
0.23788,-0.1711,0,0,0
0.23949,-0.1711,0,0,0
-0.0083547,-0.1711,0,0,0
-0.00996,-0.1711,0,0,0
-0.011565,-0.1711,0,0,0
-0.01317,-0.1711,0,0,0
-0.014775,-0.1711,0,0,0
-0.01638,-0.1711,0,0,0
-0.017985,-0.1711,0,0,0
-0.01959,-0.1711,0,0,0
-0.021195,-0.1711,0,0,0
-0.022801,-0.1711,0,0,0
-0.024405,-0.1711,0,0,0
-0.026011,-0.1711,0,0,0
-0.027615,-0.1711,0,0,0
-0.029221,-0.1711,0,0,0
-0.030826,-0.1711,0,0,0
-0.032431,-0.1711,0,0,0
-0.034036,-0.1711,0,0,0
-0.035641,-0.1711,0,0,0
-0.037246,-0.1711,0,0,0
-0.038852,-0.1711,0,0,0
-0.040456,-0.1711,0,0,0
-0.042062,-0.1711,0,0,0
-0.043666,-0.1711,0,0,0
-0.045272,-0.1711,0,0,0
-0.046877,-0.1711,0,0,0
-0.048482,-0.1711,0,0,0
-0.050087,-0.1711,0,0,0
-0.051692,-0.1711,0,0,0
-0.053297,-0.1711,0,0,0
-0.054903,-0.1711,0,0,0
-0.056507,-0.1711,0,0,0
-0.058113,-0.1711,0,0,0
-0.059717,-0.1711,0,0,0
-0.061323,-0.1711,0,0,0
-0.062928,-0.1711,0,0,0
-0.064533,-0.1711,0,0,0
-0.066138,-0.1711,0,0,0
-0.067743,-0.1711,0,0,0
-0.069348,-0.1711,0,0,0
-0.070954,-0.1711,0,0,0
-0.072558,-0.1711,0,0,0
-0.074164,-0.1711,0,0,0
-0.075768,-0.1711,0,0,0
-0.077374,-0.1711,0,0,0
-0.078979,-0.1711,0,0,0
-0.080584,-0.1711,0,0,0
-0.082189,-0.1711,0,0,0
-0.083794,-0.1711,0,0,0
-0.085399,-0.1711,0,0,0
-0.087005,-0.1711,0,0,0
-0.088609,-0.1711,0,0,0
-0.090215,-0.1711,0,0,0
-0.091818,-0.1711,0,0,0
-0.093427,-0.1711,0,0,0
-0.095027,-0.1711,0,0,0
-0.096636,-0.1711,0,0,0
-0.098236,-0.1711,0,0,0
-0.099845,-0.1711,0,0,0
-0.10145,-0.1711,0,0,0
-0.10305,-0.1711,0,0,0
-0.10466,-0.1711,0,0,0
