# created from Y0mm_Mean.dat file and invalid data removed,,,
# coordinates converted to meters,,,
# coordinate system and position updated to match global coordinate system,,,
# all data is taken on the Y = 0 mm plane and provided as a mean,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,
# 2,2,,
# Streamwise Location, Location from wheel centre of rotation, Streamwise velocity, Vertical velocity
# m, m, m/s, m/s
# x, z, Vx, Vz
0.55171,0.213539,33.4652,-0.631993
0.550244,0.213539,33.5424,-0.679697
0.548778,0.213539,33.4747,-0.688918
0.547312,0.213539,33.4426,-0.67825
0.545846,0.213539,33.449,-0.710999
0.54438,0.213539,33.4566,-0.711815
0.542914,0.213539,33.4751,-0.715563
0.541448,0.213539,33.5149,-0.764723
0.539982,0.213539,33.4942,-0.801429
0.538516,0.213539,33.4933,-0.807634
0.53705,0.213539,33.457,-0.793365
0.535584,0.213539,33.4932,-0.758238
0.534118,0.213539,33.5467,-0.768483
0.532651,0.213539,33.4914,-0.739116
0.531185,0.213539,33.4882,-0.699777
0.529719,0.213539,33.5017,-0.638011
0.528253,0.213539,33.5219,-0.615121
0.526787,0.213539,33.5482,-0.669492
0.525321,0.213539,33.5581,-0.720215
0.523855,0.213539,33.5492,-0.709933
0.522389,0.213539,33.5201,-0.667394
0.520923,0.213539,33.5209,-0.638139
0.519457,0.213539,33.5356,-0.608943
0.517991,0.213539,33.5477,-0.577428
0.516525,0.213539,33.5984,-0.592647
0.515059,0.213539,33.6503,-0.618571
0.513593,0.213539,33.6013,-0.638729
0.512127,0.213539,33.5812,-0.627323
0.510661,0.213539,33.584,-0.638094
0.509195,0.213539,33.5885,-0.63303
0.507729,0.213539,33.5733,-0.619688
0.506263,0.213539,33.5476,-0.633876
0.504797,0.213539,33.5702,-0.708229
0.503331,0.213539,33.5921,-0.762042
0.501865,0.213539,33.5904,-0.74045
0.500399,0.213539,33.569,-0.691028
0.498933,0.213539,33.5179,-0.659909
0.497467,0.213539,33.492,-0.660728
0.496001,0.213539,33.5198,-0.649781
0.494535,0.213539,33.5303,-0.642905
0.493069,0.213539,33.5009,-0.641334
0.491603,0.213539,33.4866,-0.672472
0.490137,0.213539,33.5031,-0.703081
0.488671,0.213539,33.5225,-0.717524
0.487204,0.213539,33.5385,-0.711543
0.485738,0.213539,33.5576,-0.716762
0.484272,0.213539,33.5742,-0.737612
0.482806,0.213539,33.5622,-0.729245
0.48134,0.213539,33.5781,-0.722275
0.479874,0.213539,33.617,-0.726886
0.478408,0.213539,33.6096,-0.753497
0.476942,0.213539,33.6089,-0.78585
0.475476,0.213539,33.6185,-0.807162
0.47401,0.213539,33.617,-0.774518
0.472544,0.213539,33.6084,-0.700032
0.471078,0.213539,33.5742,-0.684514
0.469612,0.213539,33.5258,-0.696788
0.468146,0.213539,33.4779,-0.716116
0.46668,0.213539,33.4456,-0.731983
0.465214,0.213539,33.4446,-0.723099
0.463748,0.213539,33.4605,-0.748539
0.462282,0.213539,33.4672,-0.797363
0.460816,0.213539,33.4821,-0.834064
0.45935,0.213539,33.4801,-0.834331
0.457884,0.213539,33.4311,-0.798789
0.456418,0.213539,33.3784,-0.756825
0.454952,0.213539,33.361,-0.765743
0.453486,0.213539,33.3659,-0.78809
0.45202,0.213539,33.3933,-0.820802
0.450554,0.213539,33.4337,-0.830458
0.449088,0.213539,33.4514,-0.829089
0.447622,0.213539,33.459,-0.851313
0.446156,0.213539,33.4554,-0.859873
0.44469,0.213539,33.4527,-0.850018
0.443224,0.213539,33.4583,-0.847934
0.441757,0.213539,33.4583,-0.868077
0.440291,0.213539,33.465,-0.875417
0.438825,0.213539,33.4556,-0.852652
0.437359,0.213539,33.4532,-0.851744
0.435893,0.213539,33.4603,-0.894451
0.434427,0.213539,33.4699,-0.928238
0.432961,0.213539,33.4652,-0.919339
0.431495,0.213539,33.4844,-0.875467
0.430029,0.213539,33.4875,-0.862087
0.428563,0.213539,33.4768,-0.919559
0.427097,0.213539,33.4759,-0.994202
0.425631,0.213539,33.477,-1.02905
0.424165,0.213539,33.4807,-1.03904
0.422699,0.213539,33.4783,-1.05258
0.421233,0.213539,33.4555,-1.05464
0.419767,0.213539,33.4437,-1.04873
0.418301,0.213539,33.4661,-1.05928
0.416835,0.213539,33.4769,-1.07899
0.415369,0.213539,33.455,-1.10437
0.413903,0.213539,33.4332,-1.12104
0.412437,0.213539,33.4413,-1.12372
0.410971,0.213539,33.4416,-1.12388
0.409505,0.213539,33.4098,-1.12986
0.408039,0.213539,33.3761,-1.15508
0.406573,0.213539,33.3664,-1.18451
0.405107,0.213539,33.3829,-1.18036
0.403641,0.213539,33.3964,-1.16892
0.402175,0.213539,33.3913,-1.18331
0.400709,0.213539,33.3771,-1.21129
0.399243,0.213539,33.3584,-1.22715
0.397777,0.213539,33.3233,-1.21037
0.39631,0.213539,33.2846,-1.17631
0.394844,0.213539,33.2783,-1.13524
0.393378,0.213539,33.2841,-1.09939
0.391912,0.213539,33.2819,-1.10069
0.390446,0.213539,33.2839,-1.15512
0.38898,0.213539,33.297,-1.22949
0.387514,0.213539,33.3137,-1.28205
0.386048,0.213539,33.3212,-1.31193
0.384582,0.213539,33.324,-1.31335
0.383116,0.213539,33.3231,-1.28901
0.38165,0.213539,33.3276,-1.2685
0.380184,0.213539,33.3415,-1.27323
0.378718,0.213539,33.359,-1.30536
0.377252,0.213539,33.3677,-1.34629
0.375786,0.213539,33.3579,-1.36622
0.37432,0.213539,33.344,-1.36031
0.372854,0.213539,33.3353,-1.35161
0.371388,0.213539,33.3378,-1.35786
0.369922,0.213539,33.3401,-1.35583
0.368456,0.213539,33.3291,-1.34938
0.36699,0.213539,33.3291,-1.36295
0.365524,0.213539,33.3432,-1.37896
0.364058,0.213539,33.3513,-1.41152
0.362592,0.213539,33.3462,-1.44382
0.361126,0.213539,33.3438,-1.47843
