"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
30.671,1.4567,-0.20734,0.0068325,5.0504e-05,13.98,-26.274,0,0.33,0.096981,0.24796
30.821,1.4838,-0.74228,0.0061663,5.0961e-05,8.6557,-28.13,0,0.33,0.12127,0.24803
30.594,1.811,-0.30235,0.0077185,5.2533e-05,19.076,-26.499,0,0.33,0.096982,0.23556
30.803,1.7066,-0.88849,0.006495,4.9477e-05,11.554,-29.34,0,0.33,0.12127,0.23565
30.884,1.2545,-0.97264,0.0059036,5.8202e-05,6.0156,-29.411,0,0.33,0.14556,0.24799
30.892,1.4561,-1.2068,0.0060425,5.2719e-05,7.6886,-30.443,0,0.33,0.14555,0.2357
3.0272,-0.66586,18.347,14.486,0.0030778,6673.4,-57.967,0,0.33,0.0030195,0.049498
3.1105,-0.69499,18.153,14.473,0.0030852,6662.5,-52.549,0,0.33,0.0030195,0.047951
3.2743,-0.56272,18.369,13.719,0.0019516,8269.9,-51.586,0,0.33,0.0017613,0.047951
3.2036,-0.53297,18.574,13.714,0.0018987,8352.7,-57.011,0,0.33,0.0017075,0.049498
2.9465,-0.63779,18.528,14.496,0.0030692,6683.8,-63.179,0,0.33,0.0030195,0.051045
3.1286,-0.50983,18.756,13.738,0.0018936,8365.9,-62.267,0,0.33,0.0017075,0.051045
1.7315,0.0043169,19.566,13.565,0.0025317,6808.9,-134.11,0,0.33,0.0030211,0.099005
1.7288,-0.017878,19.657,13.641,0.0025589,6811.2,-134.6,0,0.33,0.0030211,0.097458
2.3216,-0.0025545,19.98,13.104,0.00092751,9617,-134.21,0,0.33,0.00078878,0.097452
2.3328,0.011996,19.883,13.057,0.00092003,9605.5,-133.75,0,0.33,0.00078878,0.098999
2.5452,0.014721,19.995,12.877,0.00035051,10594,-133.62,0,0.33,0,0.098997
2.5311,0.0028711,20.094,12.914,0.00035102,10608,-134.08,0,0.33,0,0.09745
1.7366,0.026908,19.465,13.487,0.0025022,6807.4,-133.42,0,0.33,0.0030212,0.10055
2.3739,0.026772,19.79,12.985,0.00083869,9721.6,-133.06,0,0.33,0.00068595,0.10055
12.642,-0.4705,-7.8079,30.653,0.021481,1427,-94.014,0,0.33,0.096931,0.07433
13.815,-0.32961,-7.5264,30.077,0.0211,1425.4,-90.121,0,0.33,0.099966,0.074338
12.503,-0.6542,-7.6699,30.562,0.02161,1414.3,-93.023,0,0.33,0.096927,0.07279
13.645,-0.49942,-7.403,30.017,0.021233,1413.7,-89.126,0,0.33,0.099964,0.072783
19.046,1.7183,-7.8892,28.725,0.01776,1617.1,-98.546,0,0.33,0.099944,0.099198
18.616,1.5908,-7.9169,29.014,0.018043,1607.8,-98.552,0,0.33,0.099944,0.097651
17.557,1.7181,-8.2177,30.406,0.018536,1640.3,-102.38,0,0.33,0.096914,0.099194
17.132,1.5884,-8.2533,30.574,0.018774,1628.5,-102.4,0,0.33,0.096914,0.097647
14.005,-0.16735,-7.635,30.123,0.020954,1437.6,-91.097,0,0.33,0.09996,0.075917
12.801,-0.29593,-7.9299,30.732,0.021343,1439.9,-94.969,0,0.33,0.096934,0.075875
30.391,1.7148,-5.0371,0.15016,0.0005197,287.17,-57.647,0,0.33,0.14551,0.099227
30.366,1.6878,-5.0704,0.15813,0.00051907,302.67,-57.568,0,0.33,0.14552,0.097658
30.367,1.7537,-5.0739,0.22178,0.00068537,320.74,-59.578,0,0.33,0.14247,0.099241
30.336,1.7261,-5.1055,0.23746,0.00069599,337.98,-59.519,0,0.33,0.14246,0.097689
30.366,1.6463,-5.0443,0.11236,0.00040384,277.08,-55.748,0,0.33,0.14856,0.097659
30.389,1.6729,-5.0097,0.10768,0.00040885,262.29,-55.834,0,0.33,0.14856,0.099219
2.0452,-0.31308,20.002,14.374,0.0028711,6798.4,-118.7,0,0.33,0.0030206,0.074251
2.0874,-0.33142,19.963,14.398,0.0028876,6793.4,-116.22,0,0.33,0.0030206,0.072704
2.4394,-0.23577,20.268,13.641,0.001412,9065.6,-115.58,0,0.33,0.0012591,0.072702
2.4047,-0.22222,20.305,13.636,0.0014049,9069.5,-118.08,0,0.33,0.0012591,0.074249
-0.26987,-3.455,0.39632,16.558,0.018071,916.31,-154.07,0,0.33,0.048403,0.074309
-0.13862,-3.6853,0.4789,16.689,0.018099,922.09,-152.32,0,0.33,0.048402,0.072762
-0.49943,-3.4462,1.5449,16.541,0.018239,906.89,-153.78,0,0.33,0.045374,0.074304
