"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
12.112,-8.2965,2.4342,20.203,0.022056,905.15,12.459,0,0.495,0.036265,0.018561
12.289,-8.8007,2.0994,20.108,0.021078,917.79,15.31,0,0.495,0.036265,0.015467
11.898,-7.3934,3.0957,20.541,0.020056,928.44,22.47,0,0.495,0.030201,0.018561
12.066,-7.8327,2.6577,20.482,0.018684,941.85,25.704,0,0.495,0.030201,0.015467
12.014,-6.9897,2.6473,21.076,0.015113,1005.6,40.296,0,0.495,0.024141,0.012374
11.875,-6.6458,3.2373,21.145,0.016049,993.24,37.157,0,0.495,0.02414,0.015467
12.22,-8.2495,2.1828,20.347,0.017412,952.88,28.495,0,0.495,0.030201,0.012374
11.721,-6.2813,3.7881,21.157,0.017113,978.94,33.506,0,0.495,0.024141,0.018561
12.452,-9.2828,1.7335,19.91,0.020109,927.5,17.77,0,0.495,0.036265,0.012374
12.367,-9.0176,1.8387,20.13,0.022433,897.4,4.014,0,0.495,0.042334,0.018561
12.177,-8.4664,2.0561,20.144,0.022831,882.38,1.229,0,0.495,0.042334,0.021654
11.923,-7.7925,2.7391,20.2,0.022688,890.39,9.2825,0,0.495,0.036265,0.021654
12.278,-8.4057,1.5612,20.242,0.023365,866.41,-7.9002,0,0.495,0.048397,0.024748
12.467,-8.975,1.448,20.328,0.023009,883.55,-5.3037,0,0.495,0.048397,0.021654
11.979,-7.9348,2.2507,20.066,0.023179,865.75,-1.7233,0,0.495,0.042334,0.024748
12.649,-9.5685,1.3147,20.296,0.022581,898.87,-2.845,0,0.495,0.048397,0.018561
11.725,-7.3029,3.018,20.125,0.023018,874.42,5.885,0,0.495,0.036265,0.024748
12.547,-9.5731,1.5965,19.991,0.021976,909.76,6.5485,0,0.495,0.042334,0.015467
12.998,-10.757,0.978,19.74,0.02147,919.47,1.406,0,0.495,0.048397,0.012374
12.716,-10.109,1.3282,19.717,0.021465,918.57,8.7549,0,0.495,0.042333,0.012374
12.827,-10.17,1.1588,20.104,0.022066,911.18,-0.58592,0,0.495,0.048397,0.015467
11.717,-6.9483,3.4975,20.524,0.021118,913.55,18.857,0,0.495,0.030201,0.021654
11.379,-5.5383,4.7687,21.027,0.019397,947.64,25.058,0,0.495,0.024141,0.024748
11.526,-6.5098,3.8669,20.452,0.021892,897.94,14.979,0,0.495,0.030201,0.024748
11.555,-5.9088,4.2985,21.113,0.018237,963.51,29.432,0,0.495,0.02414,0.021654
11.878,-4.0849,1.8215,22.196,0.01172,1411.3,68.267,0,0.495,0.012016,0.006187
11.806,-3.947,2.7018,22.142,0.012032,1405.9,66.22,0,0.495,0.012015,0.0092804
12.035,-5.9201,1.5969,21.898,0.012533,1130.5,56.725,0,0.495,0.018078,0.006187
11.953,-5.727,2.3678,21.945,0.012942,1123.1,54.811,0,0.495,0.018077,0.0092804
12.133,-7.2952,2.0211,20.96,0.014334,1015.2,42.805,0,0.495,0.02414,0.0092804
11.851,-5.4878,3.1086,21.966,0.013526,1112.8,52.089,0,0.495,0.018078,0.012374
11.72,-3.7794,3.5483,22.049,0.012499,1398.9,63.294,0,0.495,0.012016,0.012374
12.226,-7.5399,1.3656,20.826,0.013781,1021.8,44.591,0,0.495,0.024141,0.006187
11.974,-2.3221,2.0278,17.475,0.0063328,3507.2,81.13,0,0.495,0.0059512,0.006187
12.023,-2.3918,1.0428,17.54,0.0062408,3514.2,82.176,0,0.495,0.0059518,0.0030935
11.934,-4.1832,0.92396,22.229,0.011507,1415,69.277,0,0.495,0.012016,0.0030935
12.227,-1.6044,-0.60733,13.087,0.0012963,5411.9,89.401,0,0.495,0,0
12.204,-1.5766,1.1044,13.059,0.0012911,5406.2,89.207,0,0.495,0,0.0030935
12.048,-2.4226,-0.55585,17.569,0.0061964,3517.5,82.387,0,0.495,0.0059517,0
12.162,-1.519,2.1236,13.001,0.0012785,5394.6,88.142,0,0.495,0,0.006187
11.96,-4.2213,-0.47341,22.243,0.011416,1416.5,69.521,0,0.495,0.012016,0
11.914,-2.236,3.0071,17.388,0.0064619,3499,78.922,0,0.495,0.0059512,0.0092804
11.845,-2.1373,3.9476,17.273,0.0066641,3489.2,75.761,0,0.495,0.0059512,0.012374
12.05,-1.3881,4.1348,12.86,0.0012401,5365.7,82.558,0,0.495,0,0.012374
12.11,-1.4559,3.1496,12.936,0.0012608,5381.4,85.846,0,0.495,0,0.0092804
12.094,-6.0494,0.80914,21.856,0.012266,1135.3,57.727,0,0.495,0.018077,0.0030935
12.313,-7.7534,-0.35175,20.677,0.0133,1027,45.85,0,0.495,0.024142,0
12.119,-6.0957,-0.41271,21.841,0.012163,1137.1,58.007,0,0.495,0.018079,0
12.288,-7.6988,0.69186,20.718,0.013428,1025.7,45.559,0,0.495,0.02414,0.0030935
11.596,-4.9349,4.4717,21.882,0.015039,1086.1,44.677,0,0.495,0.018078,0.018561
11.73,-5.2189,3.8111,21.948,0.014231,1100.2,48.67,0,0.495,0.018077,0.015467
11.508,-3.3981,5.106,21.733,0.013634,1381.1,55.319,0,0.495,0.012016,0.018561
11.619,-3.5932,4.3511,21.913,0.013068,1390.6,59.622,0,0.495,0.012016,0.015467
11.387,-3.202,5.8118,21.515,0.014062,1370,50.492,0,0.495,0.012016,0.021654
11.58,-1.8113,6.4777,16.758,0.0071498,3448.8,61.847,0,0.495,0.0059512,0.021654
11.676,-1.9227,5.6851,16.958,0.0071162,3465.2,67.108,0,0.495,0.0059513,0.018561
11.477,-1.6997,7.2203,16.536,0.007079,3429.3,56.168,0,0.495,0.0059513,0.024748
11.726,-1.1011,7.5922,12.422,0.0011311,5273.3,62.089,0,0.495,0,0.024748
11.816,-1.1771,6.8045,12.559,0.0011617,5302.5,68.025,0,0.495,0,0.021654
11.257,-3.0097,6.47,21.268,0.014416,1357.5,45.29,0,0.495,0.012016,0.024748
11.901,-1.2499,5.9645,12.677,0.0011903,5327.5,73.518,0,0.495,0,0.018561
11.451,-4.6471,5.0882,21.773,0.015923,1070.9,40.209,0,0.495,0.018077,0.021654
11.296,-4.3626,5.659,21.627,0.016879,1055.3,35.4,0,0.495,0.018078,0.024748
11.764,-2.0318,4.8415,17.129,0.0069158,3478.1,71.786,0,0.495,0.0059512,0.015467
11.979,-1.3194,5.0738,12.775,0.0012164,5348,78.407,0,0.495,0,0.015467
12.594,-9.7146,1.3369,19.629,0.019126,933.84,19.739,0,0.495,0.036265,0.0092804
12.706,-10.063,0.91177,19.321,0.018208,937.05,21.161,0,0.495,0.036265,0.006187
12.352,-8.6202,1.6734,20.15,0.01637,960.93,30.739,0,0.495,0.030201,0.0092804
12.455,-8.9166,1.1347,19.933,0.01561,965.92,32.359,0,0.495,0.030201,0.006187
12.779,-10.287,0.46396,19.076,0.017604,938.09,21.971,0,0.495,0.036265,0.0030936
13.067,-11.252,0.36315,18.587,0.019529,924.48,12.583,0,0.495,0.042334,0.0030935
12.988,-10.993,0.70962,18.919,0.020045,924.92,11.827,0,0.495,0.042333,0.006187
13.412,-12.143,-0.14149,18.079,0.019643,920.39,5.2781,0,0.495,0.048398,0
13.096,-11.341,-0.18438,18.46,0.019343,924.05,12.85,0,0.495,0.042334,0
13.379,-12.039,0.27727,18.248,0.019805,921.39,5.0056,0,0.495,0.048398,0.0030935
13.289,-11.741,0.53618,18.686,0.02024,923.23,4.2685,0,0.495,0.048397,0.006187
12.805,-10.362,-0.23525,18.981,0.017382,938.25,22.242,0,0.495,0.036265,0
12.866,-10.595,1.0324,19.335,0.020787,923.45,10.532,0,0.495,0.042333,0.0092804
13.156,-11.295,0.77021,19.235,0.020834,923.26,3.0449,0,0.495,0.048397,0.0092804
12.523,-9.1066,0.57552,19.76,0.015128,968.44,33.265,0,0.495,0.030202,0.0030936
12.547,-9.1707,-0.29194,19.694,0.014954,969.19,33.554,0,0.495,0.030202,0
13.765,-11.066,0.11431,21.224,0.022507,943.05,-12.951,0,0.495,0.066636,0.015467
13.443,-10.898,0.41935,20.788,0.022365,929.55,-10.253,0,0.495,0.060569,0.015467
13.629,-10.334,0.064554,21.556,0.023154,931.04,-14.459,0,0.495,0.066636,0.018561
13.288,-10.208,0.42798,21.077,0.022976,917.41,-12.003,0,0.495,0.060569,0.018561
14.241,-11.908,-0.064718,20.914,0.021677,964.82,-13.273,0,0.495,0.0727,0.012374
13.925,-11.8,0.14367,20.583,0.021655,950.5,-11.582,0,0.495,0.066636,0.012374
14.088,-11.13,-0.14347,21.643,0.022604,957.57,-14.447,0,0.495,0.0727,0.015467
13.975,-10.361,-0.24044,22.02,0.023281,945.89,-15.731,0,0.495,0.0727,0.018561
13.61,-11.585,0.38849,20.238,0.021596,937.18,-8.6791,0,0.495,0.060569,0.012374
13.142,-9.5388,0.41768,21.13,0.023428,901.95,-13.866,0,0.495,0.060569,0.021654
12.792,-9.3264,0.90212,20.682,0.023218,890.78,-10.31,0,0.495,0.054464,0.021654
12.96,-9.9593,0.84552,20.637,0.022773,906.25,-8.1599,0,0.495,0.054464,0.018561
12.622,-8.7244,0.94091,20.582,0.023566,873.38,-12.568,0,0.495,0.054464,0.024748
13.001,-8.9078,0.39158,21.01,0.023753,884.54,-15.818,0,0.495,0.060569,0.024748
13.129,-10.607,0.76818,20.395,0.022206,918.48,-6.1607,0,0.495,0.054464,0.015467
13.299,-11.244,0.66713,19.936,0.021522,926.37,-4.3776,0,0.495,0.054464,0.012374
