"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
1450.4,10077,-2.271,1.3851,3.5507,13.777,0.022749,605.92,-61.523,-252.79,-33.133,43.58,0,0.495,0.030154,0.11632
1457.8,11200,-2.4172,1.4931,3.0166,13.961,0.023713,588.89,-62.424,-260.04,-32.732,39.596,0,0.495,0.033184,0.11633
1522.1,10188,-2.2068,1.2645,3.6474,13.955,0.023217,601.37,-62.068,-252.53,-35.07,43.995,0,0.495,0.030155,0.11477
1533.3,11311,-2.3551,1.3658,3.1121,14.142,0.024181,584.96,-62.976,-259.96,-34.82,40.322,0,0.495,0.033185,0.11478
801.17,12072,-2.5962,1.7281,2.3751,13.913,0.02391,582,-62.605,-265.98,-28.963,32.618,0,0.495,0.036213,0.11788
1455,12217,-2.5454,1.5953,2.4728,14.098,0.02441,577.63,-63.258,-266.31,-31.349,33.804,0,0.495,0.036213,0.11633
1223.8,11061,-2.4714,1.6202,2.9172,13.781,0.023218,593.68,-61.776,-259.91,-30.509,38.792,0,0.495,0.033184,0.11787
1533.4,12325,-2.4848,1.4617,2.5665,14.284,0.02488,574.22,-63.799,-266.35,-33.624,34.804,0,0.495,0.036214,0.11478
1223.5,9938.3,-2.326,1.5057,3.4492,13.6,0.022251,611.6,-60.863,-252.82,-31.068,43.089,0,0.495,0.030155,0.11787
1607.4,10282,-2.1457,1.146,3.7423,14.116,0.023645,597.28,-62.642,-252.17,-37.093,44.33,0,0.495,0.030157,0.11322
1567.3,9165.3,-1.9955,1.0504,4.271,13.857,0.022415,618.55,-61.78,-244,-37.286,46.778,0,0.495,0.027127,0.11321
1483.5,9071.9,-2.0575,1.1616,4.1752,13.697,0.021983,623.45,-61.207,-244.55,-35.398,46.839,0,0.495,0.027126,0.11476
1535.6,7960.7,-1.8357,0.95198,4.7878,13.522,0.020832,650.09,-60.861,-235.2,-36.42,48.657,0,0.495,0.024098,0.11321
1618.4,8037,-1.7662,0.84995,4.8789,13.685,0.021245,645.17,-61.328,-234.33,-37.965,48.234,0,0.495,0.024099,0.11166
1653.5,9233.9,-1.9258,0.93995,4.3618,14.02,0.022827,614.53,-62.252,-243.27,-38.99,46.685,0,0.495,0.027129,0.11167
1693.2,10347,-2.0752,1.0277,3.8322,14.281,0.024048,594.14,-63.102,-251.56,-38.982,44.563,0,0.495,0.030158,0.11167
1451,7863.2,-1.8961,1.0549,4.6909,13.361,0.020388,656.46,-60.277,-235.88,-34.688,49.108,0,0.495,0.024096,0.11476
1617.9,11405,-2.2943,1.2402,3.2055,14.307,0.024601,581.67,-63.541,-259.73,-37.02,40.952,0,0.495,0.033186,0.11323
1707.3,11464,-2.2255,1.1148,3.2948,14.474,0.024998,579.1,-64.009,-259.24,-39.082,41.475,0,0.495,0.033188,0.11168
1726.1,12471,-2.3585,1.1976,2.7471,14.626,0.025696,569.26,-64.828,-265.88,-38.244,36.57,0,0.495,0.036217,0.11168
1634.6,12417,-2.4266,1.3299,2.6587,14.453,0.0253,571.34,-64.369,-266.26,-35.988,35.77,0,0.495,0.036215,0.11324
1411,8956.7,-2.1215,1.2747,4.077,13.522,0.021512,628.99,-60.648,-244.95,-33.63,46.767,0,0.495,0.027125,0.11631
1327.9,8816.8,-2.1778,1.3883,3.974,13.347,0.021015,635.57,-59.99,-245.16,-31.674,46.676,0,0.495,0.027125,0.11786
1303.6,7588.3,-2.0155,1.2657,4.4867,13.011,0.01942,671.29,-59.051,-236.75,-31.212,49.683,0,0.495,0.024096,0.11785
1384.1,7736.5,-1.9604,1.1599,4.5917,13.186,0.019921,663.04,-59.722,-236.41,-33.049,49.371,0,0.495,0.024095,0.11631
723.79,13723,-2.8341,2.0723,1.1817,13.896,0.024057,577.63,-63.446,-274.3,-21.812,11.876,0,0.495,0.042272,0.11944
649.12,12885,-2.7588,1.9718,1.7316,13.801,0.023827,579.27,-62.74,-270.53,-24.801,23.208,0,0.495,0.039243,0.11943
565.31,13524,-2.8683,2.2148,1.0848,13.687,0.023449,583.74,-62.714,-273.19,-18.819,9.5158,0,0.495,0.042272,0.12099
-51.737,12689,-2.7993,2.1105,1.6321,13.593,0.023236,585.07,-62.016,-269.63,-22.162,21.442,0,0.495,0.039243,0.12098
710.44,11918,-2.6496,1.8627,2.2763,13.711,0.023363,586.99,-61.98,-265.55,-26.687,31.435,0,0.495,0.036214,0.11942
747.45,13040,-2.71,1.8323,1.8283,14.007,0.024384,574.48,-63.375,-271.15,-27.287,24.773,0,0.495,0.039242,0.11789
835.2,13872,-2.7895,1.928,1.2759,14.105,0.024628,572.74,-64.071,-275.03,-24.605,13.837,0,0.495,0.042271,0.11789
44.205,11725,-2.6933,1.9963,2.1739,13.508,0.022779,593.11,-61.245,-264.81,-24.278,30.06,0,0.495,0.036214,0.12097
443.02,13325,-2.9041,2.3586,0.98743,13.462,0.022792,590.67,-62.013,-271.95,-15.836,7.1574,0,0.495,0.042272,0.12253
-4180.7,14061,-2.936,2.4602,0.44215,13.593,0.02278,596.77,-62.523,-274.03,-11.019,-8.5965,0,0.495,0.045301,0.12254
-4134.9,14262,-2.9091,2.3132,0.53655,13.811,0.023456,588.86,-63.239,-275.51,-14.564,-5.4136,0,0.495,0.0453,0.12099
-3716.5,14648,-2.9056,2.5492,-0.10155,13.856,0.022511,615.72,-63.027,-274.22,-4.1544,-29.613,0,0.495,0.048329,0.12255
-3676.7,14384,-2.9091,2.6958,-0.19375,13.668,0.021778,627.92,-62.221,-271.97,0.70456,-34.764,0,0.495,0.04833,0.12409
-3998.4,13809,-2.9532,2.6051,0.34594,13.376,0.022068,606.26,-61.723,-272.22,-7.1434,-12.309,0,0.495,0.045301,0.12409
-4036.7,14842,-2.8887,2.3995,-0.010695,14.056,0.023209,605.82,-63.729,-275.95,-8.4944,-25.394,0,0.495,0.048329,0.121
655.49,13075,-2.929,2.5003,0.88755,13.237,0.022096,599.12,-61.206,-270.35,-12.584,4.3433,0,0.495,0.042273,0.12408
-3171.8,14465,-2.881,2.1669,0.63037,14.016,0.024081,582.09,-63.965,-276.78,-18.026,-2.388,0,0.495,0.0453,0.11945
-2862.6,14623,-2.8435,2.0186,0.72229,14.224,0.024672,576.53,-64.606,-277.78,-21.243,0.20609,0,0.495,0.0453,0.1179
-4163.6,15229,-2.8418,2.0979,0.16957,14.444,0.024485,590.03,-65.089,-279.03,-16.501,-17.768,0,0.495,0.048329,0.1179
-3761,15058,-2.8715,2.2505,0.08003,14.245,0.023863,597.06,-64.461,-277.59,-12.682,-21.261,0,0.495,0.048329,0.11945
-198.19,12484,-2.8403,2.2502,1.5315,13.369,0.022593,591.77,-61.302,-268.56,-19.567,19.624,0,0.495,0.039244,0.12252
-638.46,12237,-2.8728,2.3885,1.4282,13.14,0.021913,599.7,-60.502,-267.19,-16.771,17.563,0,0.495,0.039244,0.12407
-474.24,11275,-2.7759,2.2653,1.9637,13.059,0.021477,608.2,-59.731,-262.74,-19.414,27.123,0,0.495,0.036215,0.12406
-67.209,11521,-2.7395,2.1315,2.0705,13.285,0.022148,599.97,-60.542,-263.94,-21.935,28.699,0,0.495,0.036215,0.12252
1513.5,13294,-2.6049,1.5549,2.0159,14.388,0.025365,567.25,-64.57,-271.8,-32.331,27.606,0,0.495,0.039243,0.11479
1426.7,13185,-2.6616,1.6939,1.9237,14.197,0.02489,570.45,-64.018,-271.6,-29.873,26.281,0,0.495,0.039242,0.11634
1360.3,14128,-2.6928,1.6402,1.4598,14.494,0.025638,565.35,-65.263,-276.05,-30.172,17.59,0,0.495,0.042272,0.11479
1250.3,14018,-2.7465,1.7851,1.3692,14.298,0.025149,568.54,-64.721,-275.63,-27.448,15.836,0,0.495,0.042271,0.11635
-1233.7,14923,-2.7574,1.7199,0.90338,14.616,0.025723,568.23,-65.811,-279.6,-27.548,5.2355,0,0.495,0.045303,0.11477
-996.66,15044,-2.7088,1.5699,0.99221,14.801,0.026178,565.38,-66.378,-280.14,-30.749,7.5568,0,0.495,0.045308,0.11318
1591.9,14252,-2.6407,1.4963,1.5496,14.674,0.026076,562.75,-65.834,-276.54,-33.02,19.451,0,0.495,0.042274,0.11323
-616.13,15113,-2.6514,1.4193,1.0785,14.987,0.026602,563.37,-66.859,-280.25,-33.842,9.4894,0,0.495,0.045313,0.11159
-3381.5,15712,-2.6774,1.4824,0.51846,15.192,0.026525,572.76,-67.356,-282.11,-30.98,-6.0008,0,0.495,0.048345,0.11157
-3513,15656,-2.7295,1.6359,0.4344,15.006,0.02608,575.41,-66.888,-281.95,-27.489,-8.2654,0,0.495,0.048342,0.11313
1702.9,14338,-2.578,1.3505,1.6369,14.859,0.026487,560.99,-66.302,-276.8,-35.772,21.086,0,0.495,0.042278,0.11165
-3637.3,15551,-2.7711,1.7895,0.34758,14.826,0.025599,579.2,-66.313,-281.46,-23.863,-11.088,0,0.495,0.048337,0.11471
1616,13398,-2.5486,1.4169,2.1067,14.563,0.025789,564.71,-65.132,-271.93,-34.898,28.893,0,0.495,0.039244,0.11324
1714.4,13472,-2.4834,1.2778,2.1946,14.741,0.02619,562.88,-65.604,-271.93,-37.395,30.094,0,0.495,0.039246,0.11168
-1518.5,14793,-2.8051,1.8704,0.81364,14.419,0.025214,571.89,-65.25,-278.78,-24.437,2.8192,0,0.495,0.0453,0.11635
-3535.8,15423,-2.8122,1.945,0.25931,14.631,0.025062,583.89,-65.748,-280.51,-20.271,-14.17,0,0.495,0.048331,0.11632
305.88,10717,-2.5743,1.8775,2.7111,13.385,0.022101,605.79,-60.409,-259.11,-26.169,36.989,0,0.495,0.033185,0.12096
1156,10906,-2.5268,1.749,2.8159,13.585,0.022676,599.21,-61.139,-259.64,-28.417,37.935,0,0.495,0.033185,0.11942
347.2,9589.6,-2.4326,1.7505,3.2385,13.211,0.021139,625.4,-59.491,-252.36,-26.993,41.939,0,0.495,0.030156,0.12096
1160,9780.3,-2.3839,1.6282,3.3462,13.407,0.021714,617.82,-60.233,-252.73,-29.107,42.552,0,0.495,0.030156,0.11941
603.48,8459.4,-2.2866,1.6195,3.7588,12.963,0.019914,651.51,-58.604,-245.01,-27.823,46.288,0,0.495,0.027127,0.12095
540.95,8238.8,-2.3389,1.7369,3.6469,12.753,0.01931,661,-57.879,-244.63,-25.887,46.015,0,0.495,0.027127,0.1225
263.61,9377.8,-2.4844,1.8745,3.1296,12.997,0.020527,633.62,-58.781,-251.85,-24.95,41.298,0,0.495,0.030156,0.1225
-115.32,7985.9,-2.3834,1.8543,3.5306,12.537,0.018673,672.01,-57.061,-243.96,-23.711,45.731,0,0.495,0.027127,0.12404
-36.297,6684.5,-2.221,1.7023,4.0329,12.205,0.017127,714.45,-56.094,-236,-23.507,50.268,0,0.495,0.024097,0.12404
570.41,6958.6,-2.1771,1.5919,4.1527,12.42,0.01775,701.25,-56.929,-236.59,-25.647,50.118,0,0.495,0.024097,0.12249
622.65,7201.4,-2.1239,1.4817,4.2671,12.629,0.018334,690.35,-57.652,-236.86,-27.528,50.05,0,0.495,0.024097,0.12095
-288.85,9130.2,-2.5268,1.9979,3.0163,12.777,0.019875,643.45,-57.963,-251.01,-22.72,40.586,0,0.495,0.030157,0.12405
1271.1,8652.8,-2.236,1.5037,3.8686,13.157,0.02048,642.9,-59.345,-245.21,-29.854,46.49,0,0.495,0.027126,0.11941
