"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
-18.647,-13.391,30.898,0.057128,0.67286,0.0067199,7.066e-05,55.165,-28.021,-6.9495,-16.119,19.267,0,0.495,0.011859,-0.29787
-514.39,58.291,30.874,0.05537,0.6975,0.007157,3.9027e-05,128.89,-28.125,-60.139,-15.588,78.611,0,0.495,0.0057935,-0.29786
-52.709,43.653,30.832,0.048942,0.66389,0.0064681,8.4592e-05,52.937,-27.781,-28.723,-3.8056,37.373,0,0.495,0.011856,-0.30407
-131.51,114.05,30.808,0.076447,0.69572,0.0066483,2.314e-05,73.818,-27.867,-58.27,-2.2346,70.325,0,0.495,0,-0.30407
-860.57,133.81,30.849,0.063798,0.7153,0.0072847,1.663e-05,159.38,-28.145,-96.66,-12.639,120.31,0,0.495,0,-0.29786
65.353,-66.886,30.953,0.087442,0.67834,0.0065808,8.5021e-05,25.404,-27.958,7.1454,-16.401,4.6185,0,0.495,0.024009,-0.29785
30.47,-32.819,30.883,0.056492,0.66237,0.0062573,0.0001438,24.062,-27.649,1.0581,-5.2161,3.5315,0,0.495,0.024005,-0.30405
65.182,-60.321,30.944,0.06529,0.66577,0.0066788,8.1631e-05,33.944,-28.034,9.2752,-17.827,4.9544,0,0.495,0.017928,-0.29786
68.243,-77.468,30.984,0.15325,0.6949,0.0065661,8.2284e-05,17.063,-27.851,7.1175,-16.682,0.67298,0,0.495,0.036147,-0.29784
105.81,-118.24,30.997,0.19349,0.70951,0.0066456,7.4524e-05,17.244,-27.84,5.6323,-17.215,-2.2059,0,0.495,0.042232,-0.29782
39.573,-44.053,30.912,0.11124,0.69078,0.0062294,0.00013746,15.908,-27.552,2.6984,-4.8632,1.3536,0,0.495,0.036161,-0.30407
36.141,-45.697,30.907,0.12985,0.7254,0.0062047,0.00013905,12.451,-27.423,4.1552,-2.5249,0.10193,0,0.495,0.048393,-0.30419
109.84,-136.51,30.953,0.19017,0.75625,0.006481,7.7648e-05,14.703,-27.727,7.3807,-11.759,-2.9731,0,0.495,0.048381,-0.29792
64.324,-72.603,31,0.13169,0.68787,0.0066328,8.0277e-05,17.611,-27.936,7.5458,-18.023,3.1836,0,0.495,0.03008,-0.29784
64.998,-41.747,30.924,0.13463,0.71731,0.0063858,8.1575e-05,12.006,-27.076,17.697,-8.717,-0.26254,0,0.495,0.084821,-0.29811
54.992,-58.581,30.89,0.068738,0.68439,0.0062032,0.00012193,9.051,-26.767,-0.16181,-0.9963,-1.5547,0,0.495,0.084819,-0.30431
303.82,-315.27,30.928,0.1355,0.70753,0.0064634,5.7883e-05,13.401,-26.985,7.4132,-9.5253,-2.5255,0,0.495,0.090886,-0.29812
77.893,-84.354,30.847,0.065252,0.85338,0.0059764,9.4529e-05,6.2311,-26.474,-9.192,-0.6723,-2.3692,0,0.495,0.096949,-0.30434
447.96,-465.96,30.876,0.11435,0.8787,0.0061355,5.0552e-05,9.0127,-26.75,-6.1281,-9.0058,-3.9657,0,0.495,0.09695,-0.29814
40.044,-4.8857,30.934,0.14687,0.75096,0.0063525,9.242e-05,11.614,-27.343,19.593,-8.5678,0.55472,0,0.495,0.072691,-0.29808
44.047,3.9996,30.939,0.15914,0.7381,0.0063979,8.8306e-05,12.316,-27.245,21.462,-9.6902,0.533,0,0.495,0.078756,-0.29809
24.542,-21.548,30.901,0.089935,0.71082,0.0061749,0.00014719,8.7968,-27.007,7.5046,-1.0351,0.015952,0,0.495,0.07269,-0.30428
81.346,-91.453,30.936,0.20025,0.80288,0.0064059,8.1323e-05,12.661,-27.686,14.021,-9.0323,-0.96567,0,0.495,0.054489,-0.29802
25.759,-34.069,30.904,0.11254,0.74195,0.0061736,0.0001439,8.9839,-27.246,5.4888,-0.65045,0.19705,0,0.495,0.060557,-0.30426
38.324,-22.074,30.932,0.17013,0.78131,0.0063476,9.0252e-05,11.705,-27.556,17.746,-8.1035,1.3359,0,0.495,0.060561,-0.29805
39.758,-8.4681,30.946,0.16973,0.7721,0.0063817,8.3864e-05,12.219,-27.513,21.316,-9.3873,1.3117,0,0.495,0.066626,-0.29807
292.54,-285.14,30.845,0.13384,1.0611,0.0058415,5.487e-05,5.0399,-26.59,3.0857,-11.199,-1.0553,0,0.495,0.10301,-0.29816
44.333,-45.553,30.814,0.062872,1.0139,0.0057165,0.00012038,2.9877,-26.108,-2.7189,-0.95327,0.26373,0,0.495,0.10908,-0.30437
52.341,-39.982,30.844,0.11246,1.0497,0.0057934,7.4234e-05,4.1874,-26.395,15.402,-10.021,2.2042,0,0.495,0.10908,-0.29817
31.385,-5.453,30.863,0.10977,1.0373,0.0058029,7.5124e-05,4.2896,-26.247,21.19,-11.747,3.638,0,0.495,0.11514,-0.29819
17.826,-13.459,30.832,0.044155,0.99397,0.005701,0.00015172,2.7571,-25.679,5.3603,-1.4321,2.3845,0,0.495,0.12121,-0.3044
30.806,-3.0944,30.866,0.088451,1.023,0.0057781,9.0016e-05,3.9181,-25.962,18.867,-10.667,3.6848,0,0.495,0.12121,-0.2982
37.627,49.514,30.886,0.097219,0.98022,0.0057747,9.4347e-05,3.8559,-25.467,21.334,-11.639,2.9045,0,0.495,0.13334,-0.29824
42.574,-1.3765,30.905,0.11511,0.9476,0.0057976,7.7936e-05,4.208,-25.245,20.084,-13.843,0.43598,0,0.495,0.1394,-0.29825
18.929,-8.5954,30.847,0.044853,0.9582,0.005695,0.00016451,2.6787,-25.187,6.2025,-1.9895,1.5671,0,0.495,0.13334,-0.30443
18.623,-13.084,30.84,0.051143,0.93421,0.005687,0.00017563,2.5776,-24.651,5.8284,-0.59407,0.62945,0,0.495,0.14547,-0.30447
57.919,-66.169,30.868,0.099461,0.95433,0.0057401,9.1426e-05,3.4333,-24.901,13.327,-8.4392,-2.1833,0,0.495,0.14547,-0.29827
38.117,34.593,30.889,0.10321,1.0132,0.0057929,8.5782e-05,4.1192,-25.733,22.886,-12.501,3.7338,0,0.495,0.12727,-0.29822
16.692,-0.56754,30.849,-0.00093501,0.90225,0.0056885,0.00013634,2.7386,-23.079,10.034,-1.7796,2.33,0,0.495,0.18209,-0.29838
123.02,-107.99,30.863,-0.0090703,0.87349,0.0056915,8.8526e-05,2.8831,-22.783,-0.46208,-3.1345,-1.9145,0,0.495,0.18816,-0.2984
24.226,-29.784,30.848,-0.023822,0.86243,0.0056788,0.0001465,2.542,-22.884,-2.526,1.4291,-0.32858,0,0.495,0.18209,-0.30458
45.745,-46.605,30.79,-0.066385,0.96757,0.0055979,0.0001056,1.7251,-22.244,-8.4685,0.74593,-3.7393,0,0.495,0.19423,-0.3046
224.06,-207.89,30.799,-0.050984,1.0015,0.0056076,6.3713e-05,1.9539,-22.39,-9.8382,-4.1623,-6.2273,0,0.495,0.19423,-0.29841
