"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
3750.4,3251.7,31.802,0.15601,-0.62451,0.4102,0.00054669,773.72,-91.658,91.631,169.14,-37.359,0,0.33,0.0059619,-0.19815
1140.6,2478.6,32.007,0.12417,-0.60259,0.28625,0.00043657,678.88,-90.913,95.598,120.24,-9.9173,0,0.33,0.005953,-0.19972
-1324.8,3418.1,31.892,0.058178,-0.33018,0.27211,0.00023194,1252,-91.647,131.59,97.493,306.9,0,0.33,0.0029357,-0.19814
-2858.8,2808.3,31.991,0.0082777,-0.30814,0.22295,0.00019437,1180.7,-90.904,129.06,69.413,342.36,0,0.33,0.002926,-0.19971
-3729,1437.7,32.063,-0.028803,-0.29342,0.18774,0.00016266,972.76,-90.175,111.7,54.658,361.8,0,0.33,0.0029176,-0.20126
-3556.5,1143.9,32.036,-0.071833,-0.1972,0.18804,0.00011176,1105.7,-90.032,101.29,49.137,535.22,0,0.33,0,-0.20126
-5618,3013.3,31.939,-0.060906,-0.13056,0.22776,0.00010308,1601.5,-90.942,131.36,44.943,680.19,0,0.33,0,-0.1997
-1347.4,1374.3,32.148,0.081029,-0.55295,0.20516,0.00034133,575.25,-89.979,85.35,78.331,94.974,0,0.33,0.0059456,-0.20127
261.03,-336.6,32.409,1.5711,0.15189,0.010555,0.0001981,53.305,-79.295,6.8929,6.6026,0.45071,0,0.33,0.090698,-0.20046
261.17,-313.66,32.414,1.5909,0.14639,0.010852,0.00019551,55.526,-79.911,-0.85012,9.1473,0.69609,0,0.33,0.090697,-0.19891
449.9,-569.8,32.383,1.5747,0.1813,0.010255,0.00020296,50.549,-78.589,4.1532,6.1923,-1.7087,0,0.33,0.093764,-0.20047
405.84,-490.36,32.388,1.6031,0.18781,0.010508,0.00020025,52.503,-79.184,-1.2189,8.4057,-1.4226,0,0.33,0.093762,-0.19893
703.71,-843.81,32.336,1.5271,0.2579,0.0097467,0.00020419,46.167,-77.054,-1.9289,4.1431,-2.9818,0,0.33,0.096803,-0.20204
528.7,-614.27,32.374,1.5394,0.16937,0.010054,0.0002058,48.876,-78.056,7.5571,4.2197,-1.8031,0,0.33,0.093763,-0.20202
718.75,-909.45,32.35,1.5666,0.25749,0.009996,0.00020362,48.049,-77.749,-4.5601,5.5169,-3.3464,0,0.33,0.096803,-0.20049
362.62,-424.27,32.395,1.5275,0.15156,0.010264,0.0002015,50.989,-78.582,9.3195,4.4151,0.17746,0,0.33,0.0907,-0.202
