"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
5147.9,-5960.2,27.804,-2.3404,-5.016,0.5065,0.0011797,422,11.521,-8.6389,61.051,-34.94,0,0.33,0.25464,0.068326
6177.6,-6916.9,27.515,-2.0647,-5.3821,0.68455,0.0013872,486.76,9.5015,-13.571,80.881,-37.846,0,0.33,0.24659,0.068234
4284.2,-5145.1,28.138,-2.13,-4.9377,0.33766,0.00096995,340.66,9.0991,-6.0509,48.633,-27.393,0,0.33,0.25467,0.072337
5056.7,-5936,27.923,-1.8487,-5.2864,0.46412,0.0011525,395.79,7.0652,-8.7642,64.394,-29.169,0,0.33,0.2466,0.072225
5798.2,-6761.8,27.731,-1.5144,-5.6167,0.57874,0.0012693,449.5,4.1571,-11.888,81.81,-31.316,0,0.33,0.23861,0.072182
7163.5,-7978.1,27.244,-1.7341,-5.7288,0.85907,0.0015369,552.38,6.5329,-17.558,103.44,-42.016,0,0.33,0.23862,0.068203
7552.6,-7997.5,27.034,-2.3129,-5.4533,0.9545,0.0016221,581.94,12.051,-20.36,96.794,-48.341,0,0.33,0.24658,0.064232
8851.7,-9277,26.666,-1.9924,-5.8135,1.2096,0.0018173,658.74,9.0647,-26.632,123.32,-55.311,0,0.33,0.23863,0.064214
2145.7,-2508.4,29.397,0.57068,-5.1729,0.019871,0.00016999,116.2,-23.281,-1.3516,18.065,-6.841,0,0.33,0.20664,0.096373
2399.6,-2871.8,29.248,0.55554,-5.3527,0.032796,0.00021066,152.41,-22.289,-1.9889,26.504,-7.095,0,0.33,0.20663,0.09234
1992.9,-2305.3,29.494,0.87828,-5.1744,0.019369,0.00016047,120.2,-27.987,-1.1173,18.546,-5.4556,0,0.33,0.19858,0.09636
2121.7,-2566.6,29.35,0.88559,-5.3491,0.033331,0.00020343,159.18,-27.299,-2.6623,29.791,-6.1376,0,0.33,0.19861,0.092369
2639,-3408.8,29.048,0.54286,-5.5378,0.08283,0.00035667,216.92,-21.27,-3.7021,45.259,-9.0322,0,0.33,0.20661,0.088313
2117.9,-2953.4,29.136,0.87958,-5.5143,0.10835,0.00040886,239.43,-26.381,-5.4992,55.849,-8.6564,0,0.33,0.19853,0.088151
1849.6,-2235,29.468,1.1767,-5.3072,0.039949,0.00022831,169.22,-32.355,-5.5911,33.203,-5.0592,0,0.33,0.19058,0.092336
1699.1,-2490.9,29.245,1.177,-5.4599,0.13701,0.00047139,261.55,-31.762,-9.5121,64.686,-6.9157,0,0.33,0.19058,0.088311
8035.7,-4336.1,25.869,0.76506,-5.8966,5.8229,0.0049235,1154.8,-23.008,-49.733,358.12,-69.528,0,0.33,0.19849,0.072131
6673.6,-5697.2,26.342,0.37798,-6.1365,4.1384,0.0039618,1005.5,-16.778,-48.704,292.25,-83.816,0,0.33,0.20658,0.072282
11028,-3770.8,24.237,0.67179,-5.8494,9.1331,0.0066753,1351.1,-22.272,-69.816,422.86,-96.439,0,0.33,0.19848,0.068116
9174,-5088.8,24.97,0.23385,-6.1719,6.7428,0.0054589,1207,-15.547,-74.899,346.89,-120.9,0,0.33,0.20648,0.068123
5598.7,-3328.9,21.915,0.95377,-5.3699,13.823,0.0089675,1535.8,-28.214,-63.939,496.99,-47.451,0,0.33,0.19049,0.064229
3793.6,-3919.9,23.887,1.0154,-5.5332,10.237,0.0071423,1421.5,-28.657,-46.459,460.98,-38.177,0,0.33,0.19049,0.068249
13284,-2370.4,22.383,0.5314,-5.7546,12.598,0.0084549,1480.5,-21.673,-97.748,456,-124.7,0,0.33,0.19847,0.064106
3220.1,-3989.5,25.635,1.0606,-5.6522,6.7215,0.0053466,1236.2,-29.221,-37.126,395.11,-29.637,0,0.33,0.1905,0.072235
10977,-3541,23.373,0.030598,-6.1676,9.6629,0.0070066,1359.1,-14.698,-108.78,378.41,-163.4,0,0.33,0.20646,0.064067
52092,-1.1912e+05,5.1387,-7.5645,2.9275,20.863,0.0089163,1413.7,29.558,-209.6,-48.101,-58.032,0,0.33,0.015706,0.0079741
1.0198e+05,-1.4072e+05,5.3173,-8.0427,1.5284,20.099,0.0081325,1419.7,33.47,-129.77,-28.43,-58.892,0,0.33,0.015706,0.0039873
-3.0099e+05,-1.987e+05,4.5342,-4.6027,3.5383,18.677,0.0050733,3026.2,60.031,95.348,-32.158,1599.1,0,0.33,0.007851,0.007974
-1.1883e+05,-2.2078e+05,4.6685,-4.9502,1.8878,18.342,0.0047145,3022.2,64.3,33.998,-19.073,1590.5,0,0.33,0.0078511,0.0039871
-24157,-3.0268e+05,4.4064,-3.6599,-1.209,15.619,0.0014159,4484.4,81.458,102.09,-7.2571,-3236.2,0,0.33,0,0
-3.7116e+05,-2.8305e+05,4.3631,-3.5254,2.0642,15.679,0.0014215,4493,80.5,188.31,-13.761,3242,0,0.33,0,0.003987
68487,-2.3662e+05,4.7219,-5.1089,-1.0658,18.198,0.0045435,3020.6,65.377,12.256,-10.366,-1587.3,0,0.33,0.0078512,0
-6.8503e+05,-2.6203e+05,4.2561,-3.2431,3.8166,15.815,0.0014263,4512.6,76.255,379.03,-23.116,3256.9,0,0.33,0,0.007974
1.331e+05,-1.5152e+05,5.3872,-8.2476,-0.81608,19.765,0.0077874,1421.6,34.581,-79.336,-15.8,58.898,0,0.33,0.015706,0
755.37,-5780.4,7.3338,-15.539,0.92963,18.56,0.016062,1130.3,-63.076,-296.51,-69.554,-32.682,0,0.33,0.047339,0.0079741
-1063.3,681.97,7.8004,-16.418,0.64137,18.757,0.016342,1147.1,-74.063,-310.84,-68.484,-29.011,0,0.33,0.055236,0.0079741
5300.4,-16220,7.5673,-16.427,0.48898,16.274,0.014529,1099.8,-61.183,-176.08,-42.449,-27.638,0,0.33,0.04734,0.0039875
2244.6,-7822,8.0379,-17.397,0.34603,16.021,0.014414,1110.5,-72.41,-188.04,-44.012,-24.133,0,0.33,0.055237,0.0039876
1794.8,-6374.6,8.5829,-18.522,-0.12518,14.387,0.013073,1100.8,-78.843,-115.21,-28.24,19.138,0,0.33,0.063138,0
3335.2,-11679,8.1382,-17.788,-0.18247,14.777,0.013583,1088.2,-71.813,-106.27,-25.962,22.501,0,0.33,0.05524,0
1078.6,-3219.3,8.4739,-18.088,0.23241,15.868,0.014049,1128,-79.37,-201.45,-46.102,-20.409,0,0.33,0.063134,0.0039876
-2677.1,3537.2,8.2298,-17.017,0.4144,19.083,0.016277,1171.5,-80.785,-327.01,-66.894,-24.594,0,0.33,0.063133,0.0079741
9159.1,-20787,7.6612,-16.778,-0.25394,15.252,0.013977,1081.6,-60.522,-98.336,-24.239,25.846,0,0.33,0.047341,0
