"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
9.1367,-13.532,30.891,-0.1346,-0.48069,0.0054631,0.00023258,0.36723,-21.767,-0.014976,-0.038037,0.12098,0,0.33,0.42088,0.30798
8.7413,-13.216,30.881,-0.15444,-0.47368,0.005463,0.00023658,0.36619,-21.495,0.012725,-0.011046,0.15217,0,0.33,0.43088,0.30131
9.549,-14.341,30.895,-0.14955,-0.49789,0.0054635,0.00022565,0.37304,-21.947,-0.014944,-0.017108,0.14153,0,0.33,0.4209,0.30144
8.8417,-13.913,30.877,-0.19638,-0.48528,0.0054635,0.00023167,0.37318,-21.454,0.042486,0.0092177,0.20863,0,0.33,0.43964,0.28614
10.664,-16.53,30.904,-0.18981,-0.53737,0.0054645,0.00021095,0.38833,-22.316,-0.0065692,0.0065007,0.19888,0,0.33,0.42094,0.28639
12.095,-17.08,30.938,-0.10227,-0.54988,0.0054646,0.00020704,0.38884,-23.26,-0.025475,-0.037448,0.10021,0,0.33,0.39078,0.30798
12.73,-18.17,30.943,-0.11689,-0.57186,0.005465,0.00020034,0.39612,-23.458,-0.035003,-0.025329,0.11974,0,0.33,0.39079,0.30147
918.79,-1086.9,29.916,-2.4103,-2.0111,0.006414,0.00021192,23.107,-3.7933,-2.8869,1.364,2.3235,0,0.33,0.33102,0.075441
961.46,-1120.5,29.89,-2.4635,-1.9869,0.0065551,0.00022965,25.364,-3.1841,-2.9877,2.2983,3.0902,0,0.33,0.331,0.073559
1020,-1207.9,29.886,-2.4589,-2.1078,0.0066689,0.00023335,27.46,-2.9856,-3.3836,-0.44868,1.4527,0,0.33,0.32727,0.075422
1078.5,-1256,29.861,-2.5165,-2.0827,0.0068713,0.00022716,30.498,-2.3341,-3.5923,0.70437,2.2632,0,0.33,0.32726,0.073531
855,-1004.7,29.916,-2.4112,-1.8964,0.0063072,0.0001896,21.043,-4.0389,-2.2887,3.7418,3.4571,0,0.33,0.33477,0.073582
818.77,-974.68,29.943,-2.3625,-1.9195,0.0062101,0.00016392,19.364,-4.6034,-2.1127,2.9232,2.8011,0,0.33,0.33478,0.075442
408.73,-570.23,30.118,-2.0838,-1.34,0.0056713,4.195e-05,6.6186,-9.486,5.7979,4.938,-2.906,0,0.33,0.36113,0.073444
449.29,-607.77,30.079,-2.1297,-1.4146,0.005703,4.6046e-05,7.5981,-8.7707,4.9306,5.3221,-1.9268,0,0.33,0.35738,0.073441
403.66,-560.47,30.14,-2.0569,-1.359,0.0056611,4.1017e-05,6.3251,-9.8333,5.5875,4.8703,-2.7239,0,0.33,0.36113,0.075337
438.77,-593.06,30.103,-2.1008,-1.4338,0.0056902,4.4367e-05,7.2348,-9.1432,4.7479,5.2048,-1.7863,0,0.33,0.35738,0.075327
371.02,-530.74,30.159,-2.0377,-1.2665,0.0056465,4.0168e-05,5.8164,-10.179,6.3323,4.6139,-3.4629,0,0.33,0.36489,0.07346
369.4,-526.47,30.18,-2.0125,-1.285,0.0056383,3.9643e-05,5.5792,-10.503,6.0524,4.5423,-3.3129,0,0.33,0.36489,0.075369
178.36,-282.73,30.414,-1.7334,-0.85129,0.0055467,4.9003e-05,2.5205,-14.283,8.4116,2.6818,-4.6487,0,0.33,0.39121,0.073545
187.67,-291.31,30.379,-1.7759,-0.90742,0.0055554,4.8976e-05,2.7832,-13.782,6.8945,3.0888,-3.5837,0,0.33,0.38746,0.073571
185.73,-297.48,30.427,-1.7196,-0.86664,0.0055444,4.8368e-05,2.47,-14.475,6.7113,2.7158,-4.4106,0,0.33,0.39121,0.07543
193.32,-302.01,30.393,-1.7605,-0.92286,0.0055528,4.8539e-05,2.721,-13.988,5.2917,3.0581,-3.3476,0,0.33,0.38746,0.075453
868.43,-1045.9,29.94,-2.3583,-2.0325,0.0062963,0.0001848,21.133,-4.3895,-2.4922,0.22001,1.4725,0,0.33,0.33103,0.077289
958.51,-1156.8,29.907,-2.4029,-2.1297,0.0065036,0.00022462,24.86,-3.6229,-3.073,-1.6977,0.48804,0,0.33,0.32728,0.077279
606.19,-788.56,30.045,-2.0663,-2.1233,0.005889,8.3395e-05,12.876,-7.9492,4.4892,-2.9059,-3.2232,0,0.33,0.33094,0.088742
646.7,-839.99,30.006,-2.0918,-2.2246,0.0059582,9.9452e-05,14.515,-7.4134,3.3387,-3.1376,-3.7686,0,0.33,0.32716,0.088771
581.17,-758.78,30.062,-2.0256,-2.1326,0.0058521,7.427e-05,11.939,-8.5204,5.7382,-2.0304,-3.3942,0,0.33,0.33094,0.090637
616.18,-806.54,30.024,-2.0485,-2.2341,0.0059114,8.7538e-05,13.389,-8.0194,4.1174,-1.9774,-3.8012,0,0.33,0.32716,0.090658
774.21,-937.37,29.968,-2.3147,-1.94,0.0061283,0.00014345,17.874,-5.1583,-1.5589,1.8645,2.1226,0,0.33,0.33479,0.077287
398.34,-550.4,30.163,-2.029,-1.3774,0.0056515,4.025e-05,6.0388,-10.189,5.3489,4.8518,-2.5737,0,0.33,0.36114,0.077274
427.96,-578.6,30.127,-2.071,-1.4523,0.0056781,4.295e-05,6.8831,-9.5254,4.5478,5.0603,-1.7381,0,0.33,0.35738,0.077263
547.55,-721.14,30.081,-2.0422,-2.0234,0.0058306,7.1114e-05,11.376,-8.4892,4.7076,-2.3983,-2.4919,0,0.33,0.33476,0.088707
527,-696.12,30.097,-2.0037,-2.0314,0.0058019,6.429e-05,10.606,-9.0275,6.0534,-1.8445,-2.8103,0,0.33,0.33476,0.090585
328.64,-459.82,30.289,-1.8644,-1.4655,0.0056062,4.0455e-05,4.5975,-12.281,5.7827,2.6481,-2.4863,0,0.33,0.36111,0.088713
329.85,-462.34,30.259,-1.8975,-1.5392,0.005622,4.1229e-05,5.0865,-11.769,4.4072,2.7873,-2.0983,0,0.33,0.35735,0.088715
317.24,-443.65,30.307,-1.8378,-1.4769,0.0056003,4.0949e-05,4.4028,-12.622,6.1187,2.191,-2.4105,0,0.33,0.36111,0.090589
313.15,-441.16,30.278,-1.8701,-1.5503,0.0056146,4.176e-05,4.8346,-12.133,4.5226,2.4221,-2.1369,0,0.33,0.35735,0.09059
366.06,-518.03,30.201,-1.9861,-1.3029,0.0056304,3.9339e-05,5.3452,-10.833,5.9819,4.5179,-3.1325,0,0.33,0.3649,0.077322
194.46,-310.41,30.44,-1.7018,-0.881,0.0055423,4.7695e-05,2.4225,-14.67,5.5038,2.6733,-4.3016,0,0.33,0.39122,0.077336
198.13,-307.94,30.407,-1.7419,-0.93748,0.0055503,4.828e-05,2.6582,-14.198,4.3724,2.9401,-3.2416,0,0.33,0.38746,0.077348
312.24,-441.34,30.32,-1.8316,-1.3886,0.0055926,4.0775e-05,4.1555,-12.78,6.7112,2.4347,-2.7272,0,0.33,0.36486,0.088706
303.45,-428.43,30.336,-1.8058,-1.3994,0.0055878,4.125e-05,4.0007,-13.1,7.0667,1.8531,-2.6389,0,0.33,0.36487,0.090578
160.09,-246.92,30.514,-1.611,-0.96023,0.0055288,5.2676e-05,2.0186,-15.831,7.3218,2.1727,-3.3532,0,0.33,0.39125,0.088542
154.51,-238.15,30.489,-1.6451,-1.0154,0.0055344,5.4555e-05,2.1682,-15.454,4.7357,2.5866,-2.2839,0,0.33,0.38746,0.088601
166.51,-258.78,30.526,-1.5951,-0.97139,0.0055271,5.2075e-05,1.9809,-16.023,5.7114,2.1111,-3.175,0,0.33,0.39124,0.090406
155.02,-241.17,30.501,-1.6276,-1.0257,0.0055325,5.4594e-05,2.119,-15.662,3.4027,2.3646,-2.1452,0,0.33,0.38746,0.09046
560.48,-733.69,30.08,-1.9872,-2.1403,0.00582,6.6633e-05,11.092,-9.0801,6.7133,-0.97738,-3.4301,0,0.33,0.33096,0.092506
590.79,-777.93,30.044,-2.0073,-2.2416,0.0058711,7.7514e-05,12.376,-8.6122,4.6637,-0.70492,-3.7615,0,0.33,0.32716,0.092531
509.24,-646.63,30.228,-1.7798,-2.1602,0.0056918,4.14e-05,7.3819,-12.24,7.7626,4.5526,-2.252,0,0.33,0.33104,0.10358
494.41,-649.84,30.203,-1.7845,-2.2531,0.0057162,4.5075e-05,8.049,-11.95,4.4839,5.0052,-2.4992,0,0.33,0.32725,0.10361
497.52,-633.95,30.257,-1.7457,-2.1599,0.0056775,3.9701e-05,6.9291,-12.755,7.1557,4.7417,-2.1555,0,0.33,0.33104,0.10551
481.52,-635.07,30.234,-1.7484,-2.2502,0.0056998,4.2743e-05,7.5449,-12.495,3.661,5.1646,-2.2883,0,0.33,0.32726,0.10551
511.11,-675.68,30.115,-1.9672,-2.0382,0.0057766,5.8566e-05,9.9071,-9.5577,7.2619,-1.0505,-2.9657,0,0.33,0.33477,0.092458
304.71,-423.81,30.324,-1.8121,-1.4878,0.0055947,4.1645e-05,4.2118,-12.962,6.7092,1.9089,-2.2968,0,0.33,0.3611,0.092464
296.11,-418.12,30.296,-1.8435,-1.5607,0.0056076,4.2533e-05,4.5905,-12.495,4.7395,2.22,-2.1464,0,0.33,0.35735,0.092465
506.96,-634.87,30.252,-1.7682,-2.0588,0.0056723,3.91e-05,6.8157,-12.56,9.6733,4.3191,-1.9997,0,0.33,0.33484,0.10367
498.85,-623.03,30.28,-1.7359,-2.06,0.0056602,3.7931e-05,6.4305,-13.043,9.6153,4.6046,-1.9065,0,0.33,0.33484,0.10557
271.8,-361.44,30.425,-1.6716,-1.5392,0.0055654,4.4296e-05,3.2412,-14.944,7.7305,3.2325,-1.5949,0,0.33,0.3611,0.10371
234.77,-330.25,30.404,-1.6946,-1.6068,0.0055727,4.7051e-05,3.4003,-14.607,3.275,3.568,-1.6494,0,0.33,0.35735,0.10371
262.73,-347.59,30.444,-1.649,-1.5454,0.005561,4.5061e-05,3.0864,-15.263,7.7535,3.5701,-1.6145,0,0.33,0.3611,0.10559
223.15,-313.78,30.424,-1.6702,-1.6112,0.0055678,4.8189e-05,3.2265,-14.947,2.9754,3.9225,-1.5484,0,0.33,0.35735,0.10559
292.22,-409.63,30.352,-1.7808,-1.4094,0.0055832,4.1963e-05,3.847,-13.42,7.8543,1.4352,-2.4955,0,0.33,0.36487,0.092455
169.39,-262.95,30.537,-1.5764,-0.98189,0.0055255,5.1978e-05,1.9413,-16.217,4.8263,1.8582,-3.0956,0,0.33,0.39124,0.092283
151.41,-236.87,30.514,-1.6083,-1.0354,0.0055305,5.5256e-05,2.0647,-15.874,2.8835,2.066,-2.1578,0,0.33,0.38746,0.092345
295.78,-380.25,30.446,-1.6462,-1.4574,0.0055591,4.2501e-05,3.0899,-15.277,10.517,3.3361,-1.4455,0,0.33,0.36485,0.10371
293.34,-372.42,30.464,-1.6241,-1.464,0.0055554,4.2725e-05,2.9652,-15.576,10.966,3.6743,-1.5356,0,0.33,0.36485,0.10559
145.73,-216.83,30.598,-1.4827,-1.0463,0.0055151,5.7054e-05,1.6414,-17.381,4.979,1.4749,-2.1902,0,0.33,0.39124,0.1035
123.3,-188.85,30.582,-1.5125,-1.092,0.0055192,6.1805e-05,1.7293,-17.122,0.93392,2.245,-1.4898,0,0.33,0.38745,0.10372
149.79,-223.02,30.608,-1.4648,-1.0564,0.005514,5.6734e-05,1.6177,-17.573,3.3072,1.4613,-1.8867,0,0.33,0.39122,0.10542
124.91,-189.87,30.594,-1.4928,-1.0998,0.005518,6.1627e-05,1.7021,-17.325,-1.1026,2.3462,-1.1201,0,0.33,0.38745,0.10557
874.98,-1101.3,30.127,-1.6212,-2.8544,0.005892,6.8148e-05,13.113,-12.225,3.7998,1.9405,-4.9026,0,0.33,0.3046,0.10767
922.44,-1149.5,30.095,-1.6708,-2.8693,0.0059326,7.5832e-05,14.105,-11.549,4.5731,2.9986,-4.4513,0,0.33,0.3046,0.10579
904.6,-1144.5,30.099,-1.5924,-2.9639,0.0059392,7.6737e-05,14.231,-12.227,1.1195,1.4209,-5.0358,0,0.33,0.30085,0.10767
950.72,-1199.8,30.067,-1.6449,-2.9833,0.0059862,8.5784e-05,15.333,-11.517,2.0078,2.2949,-5.0316,0,0.33,0.30085,0.10578
482.98,-621.18,30.286,-1.7105,-2.1582,0.0056644,3.8525e-05,6.5127,-13.267,6.1913,4.5669,-2.025,0,0.33,0.33103,0.1075
467.47,-620.41,30.265,-1.7108,-2.2455,0.0056848,4.0983e-05,7.0755,-13.038,2.5056,4.9616,-1.9833,0,0.33,0.32725,0.1075
730.89,-895.69,30.293,-1.2463,-2.7978,0.0057169,3.8275e-05,8.2467,-16.683,-1.9861,3.381,-1.4786,0,0.33,0.30085,0.12079
689.56,-881.9,30.307,-1.2868,-2.7125,0.0056946,3.5898e-05,7.6456,-16.525,0.37769,1.9539,-4.9865,0,0.33,0.3046,0.12079
751.58,-927.45,30.264,-1.2923,-2.8238,0.0057399,4.1339e-05,8.9539,-16.096,-2.1433,2.3081,-2.201,0,0.33,0.30085,0.11892
708.48,-907.49,30.281,-1.3322,-2.7359,0.0057157,3.8417e-05,8.3067,-15.955,0.33616,0.95636,-5.3509,0,0.33,0.3046,0.11892
355.37,-476.72,30.418,-1.4968,-2.1251,0.0056037,3.9927e-05,4.5074,-16.055,0.65294,-0.19605,-1.7623,0,0.33,0.33102,0.11875
350.8,-462.74,30.408,-1.4853,-2.1901,0.0056168,4.0851e-05,4.867,-15.967,-2.7708,0.97807,0.17833,0,0.33,0.32725,0.11886
341.47,-456.54,30.434,-1.4616,-2.1163,0.0055951,4.0612e-05,4.2208,-16.484,-0.10442,-0.058371,-1.4787,0,0.33,0.33102,0.12062
342.29,-445.1,30.427,-1.449,-2.1778,0.0056077,4.1293e-05,4.5695,-16.415,-3.4525,1.2828,0.79872,0,0.33,0.32725,0.12071
490.41,-614.22,30.307,-1.7035,-2.0603,0.0056492,3.7104e-05,6.0816,-13.52,9.1881,4.5605,-1.8209,0,0.33,0.33483,0.10747
