"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
9.0879,-12.638,30.665,-0.23655,-0.59994,0.0054846,0.00023249,0.52802,-12.567,-4.0588,3.4215,-1.5146,0,0.495,0.3644,0.28009
20.707,-14.764,30.66,-0.22302,-0.62419,0.0054848,0.0002123,0.53772,-12.84,3.8711,3.7695,-1.4951,0,0.495,0.35226,0.28008
4.8341,-5.0234,30.675,-0.22722,-0.59219,0.0054841,0.00032682,0.50933,-12.652,-0.57431,0.47111,-1.3546,0,0.495,0.36439,0.28628
1.3342,9.5341,30.672,-0.23931,-0.61252,0.0054843,0.00031055,0.51612,-12.919,6.9699,0.39973,-1.7441,0,0.495,0.35226,0.28627
7.4773,-9.0539,30.676,-0.21406,-0.59925,0.0054833,0.00026675,0.49869,-12.745,-2.7124,-1.2584,-1.3713,0,0.495,0.36439,0.29247
6.2454,-3.3655,30.69,-0.17502,-0.58194,0.0054831,0.00020901,0.49601,-12.418,-5.8723,-1.1409,1.4577,0,0.495,0.37654,0.29247
0.23562,4.6433,30.689,-0.20591,-0.58237,0.0054838,0.00025371,0.50662,-12.348,-6.6614,0.44913,1.1574,0,0.495,0.37655,0.28627
11.265,-6.2855,30.608,-0.15724,-0.60047,0.0054775,0.00021437,0.43992,-12.204,-3.868,-2.295,4.0982,0,0.495,0.38878,0.29854
7.2282,3.0786,30.625,-0.17656,-0.61666,0.0054789,0.00020006,0.45944,-12.148,-7.3092,-2.1188,5.0929,0,0.495,0.38879,0.29235
7.7481,-7.2587,30.681,-0.14883,-0.58698,0.005482,0.00021911,0.47985,-12.471,-4.6819,-2.0699,1.6277,0,0.495,0.37654,0.29865
8.8956,-10.859,30.664,-0.17888,-0.60302,0.0054818,0.00022822,0.47743,-12.798,-3.5989,-2.0229,-1.0812,0,0.495,0.36439,0.29865
-0.35511,13.451,30.631,-0.20916,-0.63577,0.0054794,0.00022575,0.4662,-12.099,-9.4996,-0.74552,4.5796,0,0.495,0.38882,0.2861
-6.3887,13.457,30.68,-0.23608,-0.5892,0.0054842,0.00021688,0.52058,-12.273,-10.034,3.2124,0.76688,0,0.495,0.37657,0.28006
