"Lambda2","Q","U:0","U:1","U:2","epsilon","k","nut","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
-2.3846e+05,3.5984e+05,2.9808,-14.007,0.25208,4.2864,0.0065777,7.9649e-07,-81.819,1483,2241.4,0.67518,0,0.495,0.030102,-0.017016
-2.3214e+05,4.7721e+05,-0.67331,-11.564,0.74836,6.3331,0.0066931,6.6334e-07,-86.985,1962.3,2278.2,-47.344,0,0.495,0.030099,-0.015469
-3.5697e+05,4.133e+05,3.2038,-14.817,-0.46707,4.3767,0.0066509,7.9912e-07,-92.427,1490.2,2310.8,40.995,0,0.495,0.03313,-0.017016
-4.3143e+05,5.5269e+05,-0.50986,-12.413,-0.013243,6.6889,0.0067529,6.5058e-07,-97.389,2004.6,2390.4,19.966,0,0.495,0.033126,-0.015469
-2.6908e+05,2.721e+05,6.7424,-17.001,-1.5027,3.1642,0.0065916,1.0264e-06,-94.71,960.45,1946.5,66.944,0,0.495,0.036161,-0.018562
-1.8321e+05,2.3875e+05,6.3664,-16.307,-0.85607,3.0897,0.0065398,1.0301e-06,-86.525,944.91,1884,40.895,0,0.495,0.033133,-0.018562
-4.2491e+05,4.3341e+05,3.5115,-15.504,-1.1571,4.5726,0.0066887,7.9725e-07,-100.36,1476.1,2343.9,83.412,0,0.495,0.036157,-0.017016
-4.3927e+05,5.6733e+05,-0.21209,-13.133,-0.7625,6.992,0.0067708,6.4142e-07,-104.93,2009.8,2446.6,72.988,0,0.495,0.036154,-0.015469
-1.1419e+05,1.8634e+05,6.0199,-15.44,-0.18652,3.0657,0.0064695,1.0373e-06,-75.607,921.97,1791.7,11.742,0,0.495,0.030106,-0.018562
-2.2757e+05,5.8906e+05,-3.9669,-8.6627,1.0611,8.8757,0.0067986,5.7583e-07,-92.011,2603.5,1949.3,-91.821,0,0.495,0.030095,-0.013922
72578,4.7087e+05,-3.599,-8.0203,1.7314,7.8965,0.0067085,6.2578e-07,-80.22,2349.2,1690.3,-188.63,0,0.495,0.027067,-0.013922
-42886,3.8844e+05,-0.59119,-10.746,1.4408,5.8377,0.00658,6.8547e-07,-74.984,1862.7,2116.9,-125.96,0,0.495,0.027071,-0.015469
