"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
461.32,-601.74,29.659,-2.2679,-0.99409,0.0061635,0.00016561,16.452,0.57219,7.0461,6.1551,-1.7289,0,0.33,0.35939,0.049511
574.1,-698.39,29.59,-2.3722,-1.0943,0.0065723,0.00023238,22.717,2.2513,6.4014,6.552,0.14005,0,0.33,0.3533,0.049511
462.14,-600.47,29.696,-2.237,-1.0442,0.0060929,0.00014529,15.332,0.072411,6.6577,5.6004,-1.4772,0,0.33,0.35939,0.052681
567.89,-690.08,29.63,-2.3372,-1.15,0.0064444,0.00022645,21.08,1.695,6.1225,6.1204,0.36483,0,0.33,0.3533,0.05268
357.89,-513.76,29.769,-2.1439,-0.94399,0.0058863,9.1319e-05,11.267,-1.4505,6.1715,5.0001,-3.6935,0,0.33,0.36555,0.052679
359.35,-507.07,29.801,-2.113,-0.9875,0.0058462,8.1357e-05,10.473,-1.9139,6.3854,4.4356,-3.3452,0,0.33,0.36554,0.05589
458.98,-590.16,29.732,-2.2028,-1.093,0.0060262,0.000127,14.204,-0.44743,6.8457,5.1278,-1.1584,0,0.33,0.35939,0.055892
558.85,-675.88,29.67,-2.299,-1.2037,0.0063285,0.00021057,19.455,1.1132,6.174,5.7261,0.6206,0,0.33,0.35329,0.055892
752.17,-866.81,29.605,-2.4569,-1.4925,0.0074321,0.00022005,34.481,3.7508,3.301,6.6268,2.4535,0,0.33,0.34111,0.059089
642.77,-751.95,29.658,-2.3555,-1.3723,0.0066428,0.00023679,24.541,2.0912,5.0049,6.0503,2.0127,0,0.33,0.3472,0.059112
777.15,-895.91,29.557,-2.5085,-1.4329,0.0078965,0.00020943,38.389,4.4904,3.4485,6.997,2.1049,0,0.33,0.34115,0.055881
661.87,-774.54,29.614,-2.401,-1.3172,0.0068278,0.0002464,26.933,2.758,4.9974,6.2718,1.7464,0,0.33,0.34722,0.05589
623.98,-730.05,29.702,-2.3086,-1.4231,0.0064794,0.0002282,22.231,1.4196,4.979,5.8639,2.2174,0,0.33,0.34717,0.062305
527.9,-635.68,29.75,-2.218,-1.301,0.0061271,0.00015584,16.294,-0.089101,6.4893,5.4466,1.1677,0,0.33,0.35328,0.062308
