"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
3327.5,6359,1.3804,-0.68637,6.7593,21.111,0.028106,754.29,-62.368,-207.1,-61.224,11.771,0,0.495,0.018132,0.069667
3229.1,5315.6,1.4227,-0.5747,7.2476,20.336,0.024102,849.04,-61.262,-200.96,-57.085,11.022,0,0.495,0.015098,0.069657
3251,6449.5,1.2925,-0.61676,6.7722,20.863,0.0278,754.06,-62.926,-207.77,-60.507,14.116,0,0.495,0.018132,0.071215
3152.9,5436.2,1.3413,-0.51497,7.2645,20.086,0.02381,848.78,-61.881,-201.82,-56.535,13.689,0,0.495,0.015101,0.071209
3090.9,3967.5,1.5518,-0.50779,7.715,19.421,0.019383,1024.1,-59.127,-195.45,-53.25,14.56,0,0.495,0.01206,0.06809
3237.5,4153.6,1.4697,-0.45729,7.7413,19.178,0.019195,1018.5,-59.985,-196.48,-53.194,16.399,0,0.495,0.012063,0.069641
3051.7,5155.6,1.5123,-0.63641,7.2257,20.59,0.024349,850.7,-60.486,-200.17,-57.336,8.3609,0,0.495,0.015097,0.068103
3121.9,6234.8,1.4783,-0.75841,6.7414,21.355,0.028341,757,-61.64,-206.51,-61.664,9.3075,0,0.495,0.01813,0.068118
3145,4312.2,1.3979,-0.40803,7.7627,18.917,0.018903,1023,-60.649,-197.53,-52.76,20.741,0,0.495,0.012066,0.071194
3152.7,6538.7,1.1974,-0.54678,6.7813,20.624,0.027551,751.81,-63.556,-208.28,-60.044,16.404,0,0.495,0.018131,0.072763
3200,7629.4,1.1325,-0.63077,6.285,21.183,0.03088,687.15,-64.736,-214.68,-63.769,16.886,0,0.495,0.02116,0.072767
3298.5,7571.7,1.2333,-0.71015,6.2794,21.421,0.031142,688.95,-64.165,-214.28,-64.43,14.715,0,0.495,0.021161,0.071219
3318.8,8550.3,1.0675,-0.70931,5.7865,21.561,0.033482,644.71,-65.776,-221.09,-67.301,18.443,0,0.495,0.024189,0.072771
3226.6,8554.2,0.96938,-0.62396,5.7849,21.333,0.033205,643.34,-66.159,-221.32,-66.201,20.242,0,0.495,0.024188,0.074318
3115.5,7653.7,1.0398,-0.5539,6.2863,20.951,0.030592,685.99,-65.168,-215.07,-62.838,18.871,0,0.495,0.021159,0.074314
3420.3,8518.9,1.1754,-0.79756,5.784,21.791,0.033714,647.16,-65.241,-220.82,-68.169,16.393,0,0.495,0.024189,0.071223
3066.2,6599.6,1.1119,-0.47904,6.7857,20.381,0.027235,752.03,-64.019,-208.89,-59.319,18.605,0,0.495,0.018131,0.074311
3371,7523.1,1.329,-0.78909,6.2701,21.657,0.031412,690.56,-63.64,-213.82,-65.333,12.568,0,0.495,0.021161,0.069672
3143.7,7433.4,1.433,-0.87077,6.2564,21.899,0.031656,692.82,-62.973,-213.34,-65.964,10.211,0,0.495,0.021161,0.068125
3583.5,8436.2,1.3887,-0.97594,5.7684,22.254,0.034178,651.91,-64.134,-220.2,-70.091,12.192,0,0.495,0.024186,0.068127
3502.8,8497.7,1.2771,-0.88521,5.7785,22.021,0.033969,649,-64.769,-220.55,-69.273,14.433,0,0.495,0.024188,0.069676
3054.5,5553.2,1.2541,-0.4551,7.2771,19.837,0.023554,847.63,-62.549,-202.51,-56.24,16.206,0,0.495,0.015101,0.072758
2969.5,5636.9,1.1749,-0.39698,7.2852,19.592,0.023254,847.87,-63.065,-203.27,-55.668,18.744,0,0.495,0.0151,0.074306
2933.2,4566.4,1.2479,-0.31093,7.7921,18.421,0.018405,1023.4,-61.95,-199.33,-52.155,26.716,0,0.495,0.012061,0.074292
3039.2,4450.1,1.3176,-0.35894,7.7794,18.677,0.018706,1018,-61.397,-198.44,-52.644,22.404,0,0.495,0.012065,0.072746
5300.3,-4338.6,1.7761,-0.26414,8.6994,15.401,0.0079231,2233,-55.795,-102.45,-44.307,318.69,0,0.495,0.0059711,0.066517
3465.2,2696.1,1.663,-0.41035,8.1777,18.011,0.013987,1334.7,-57.076,-193.2,-48.769,19.158,0,0.495,0.0090062,0.066523
4959.5,-6796.5,1.8491,-0.29502,8.6489,15.603,0.0079858,2282.5,-54.643,-69.214,-44.163,403.79,0,0.495,0.0059706,0.06497
3527.4,2434.1,1.7349,-0.45068,8.1349,18.264,0.014136,1337.5,-56.048,-191.63,-48.646,17.025,0,0.495,0.0090036,0.064974
3146.8,3758.6,1.625,-0.55856,7.6837,19.69,0.019674,1020,-58.357,-194.28,-53.641,10.171,0,0.495,0.012056,0.066539
3375.5,2929.4,1.5984,-0.37104,8.2143,17.761,0.013762,1336.3,-57.927,-194.36,-48.544,25.074,0,0.495,0.0090108,0.068073
2722.9,3521.2,1.7085,-0.6108,7.6468,19.938,0.019854,1026.2,-57.391,-193.14,-53.642,8.1425,0,0.495,0.012052,0.064989
5582.7,-6207.5,1.7416,-0.2383,8.7402,15.164,0.0077648,2277.4,-56.68,-70.06,-44.06,417.02,0,0.495,0.0059719,0.068065
4966.1,-4967,1.885,-0.32177,8.5958,15.849,0.0081465,2237.9,-53.645,-101.31,-44.269,305,0,0.495,0.0059697,0.063423
-25413,-6841.9,2.5673,-0.1354,8.9818,12.467,0.0026865,6267.4,-52.145,1451,-31.483,4775.3,0,0.495,0.002939,0.063423
-22460,-2996.4,2.5389,-0.12267,9.0425,12.322,0.0025857,6210.8,-53.247,1459.1,-31.358,4778.7,0,0.495,0.0029396,0.06497
-20386,-14892,2.5999,-0.15907,8.9195,12.6,0.0026563,6250.4,-50.812,1439.6,-31.268,4761.2,0,0.495,0.0029382,0.061876
-60229,-6778.3,3.1939,-0.047196,9.0874,10.794,0.00037331,9522.5,-51.231,2910,-7.0046,8938.2,0,0.495,0,0.063423
-51836,-18424,3.1814,-0.07312,9.0223,10.938,0.00039504,9363.5,-49.911,2823,-8.2821,8735.3,0,0.495,0,0.061876
3945,-7496.2,1.9583,-0.35411,8.5326,16.055,0.0082099,2287.9,-52.377,-68.787,-44.055,388.8,0,0.495,0.0059694,0.061877
-54412,3454,3.1481,-0.045944,9.1447,10.782,0.00038825,9291.8,-52.388,2859.5,-7.9082,8750.1,0,0.495,0,0.06497
3466.4,2142.3,1.8004,-0.49153,8.087,18.522,0.014361,1336.3,-55.088,-190.33,-48.82,11.143,0,0.495,0.009001,0.063425
3251.9,1811.3,1.8732,-0.53368,8.0325,18.782,0.01451,1339.5,-53.949,-188.53,-48.653,8.8867,0,0.495,0.0089994,0.061877
1454,2961,1.8672,-0.71764,7.5575,20.468,0.02032,1028.9,-55.453,-190.62,-53.825,1.4113,0,0.495,0.012035,0.061884
2028.4,3257.6,1.7827,-0.66336,7.6051,20.214,0.020145,1022.4,-56.522,-191.88,-53.917,3.655,0,0.495,0.012042,0.063435
-28306,5241.1,2.5079,-0.099772,9.0907,12.193,0.0026153,6229.6,-54.456,1468.5,-31.504,4793.2,0,0.495,0.0029398,0.066517
-24506,8378.5,2.4809,-0.0874,9.138,12.051,0.0025154,6175.3,-55.435,1474.8,-31.356,4797.5,0,0.495,0.0029397,0.068064
-57076,24459,3.1192,-0.01934,9.2383,10.631,0.00038143,9227.9,-54.611,2889.5,-7.7839,8770.4,0,0.495,0,0.068064
-64283,15853,3.1644,-0.020851,9.1949,10.644,0.00036703,9454,-53.582,2944.1,-6.6176,8956.2,0,0.495,0,0.066517
-16949,12756,1.5282,-2.0395,-0.20097,24.974,0.04168,599.18,-72.974,-228.8,-117.04,-55.823,0,0.495,0.063496,0.065102
-16891,12781,1.3496,-1.8804,-0.24091,24.645,0.041437,594.76,-73.239,-229.24,-114.01,-55.401,0,0.495,0.063496,0.066649
-16605,12274,1.6862,-2.0553,-0.57141,25.511,0.041561,613.81,-72.886,-222.99,-118.13,-69.615,0,0.495,0.066522,0.065107
-16568,12315,1.5063,-1.8948,-0.61681,25.182,0.041282,610,-73.149,-223.43,-115.05,-69.612,0,0.495,0.066522,0.066654
-17107,13181,1.0719,-1.7064,0.1201,23.908,0.041361,578.04,-73.531,-234.6,-110.18,-41.542,0,0.495,0.060472,0.068191
-16839,12807,1.18,-1.7248,-0.28106,24.324,0.04118,590.68,-73.449,-229.74,-110.93,-55.208,0,0.495,0.063496,0.068196
-17180,13178,1.2388,-1.86,0.15519,24.222,0.041582,582.51,-73.311,-234.16,-113.19,-42.052,0,0.495,0.06047,0.066644
-17256,13175,1.4166,-2.0177,0.19002,24.548,0.04179,587.4,-73.011,-233.75,-116.14,-42.855,0,0.495,0.06047,0.065098
-16530,12357,1.337,-1.738,-0.66181,24.863,0.040989,606.59,-73.336,-223.92,-111.88,-69.879,0,0.495,0.066522,0.068201
-16114,11683,1.8793,-2.0612,-0.92263,26.138,0.041445,630.68,-72.483,-216.52,-117.21,-85.359,0,0.495,0.069547,0.065112
-16136,11642,2.0591,-2.2234,-0.87244,26.451,0.04173,633.85,-72.258,-216.31,-120.34,-84.711,0,0.495,0.069547,0.063564
-16632,12244,1.8659,-2.2164,-0.52666,25.83,0.041813,617.75,-72.649,-222.66,-121.13,-69.412,0,0.495,0.066523,0.063559
-16170,11611,2.2484,-2.3899,-0.82235,26.769,0.041996,637.42,-71.978,-216.26,-123.57,-84.326,0,0.495,0.069546,0.06201
-15664,10918,2.4932,-2.3922,-1.1396,27.479,0.041977,654.61,-71.769,-209.14,-122.73,-99.185,0,0.495,0.072573,0.062019
-15654,10968,2.3058,-2.2252,-1.1955,27.178,0.041685,651.97,-72.026,-209.11,-119.52,-100.11,0,0.495,0.072574,0.063569
-16700,12237,2.057,-2.3824,-0.48266,26.16,0.042048,622.15,-72.315,-222.66,-124.36,-69.498,0,0.495,0.066531,0.062003
-15643,11025,2.1291,-2.0627,-1.2505,26.884,0.041374,649.77,-72.222,-209.18,-116.29,-101.31,0,0.495,0.072574,0.065116
-16977,12737,1.7081,-2.1997,-0.1615,25.297,0.041898,603.77,-72.716,-228.39,-119.81,-56.089,0,0.495,0.063498,0.063553
-17301,13180,1.5934,-2.176,0.22396,24.863,0.041972,592.36,-72.749,-233.37,-118.8,-43.449,0,0.495,0.060472,0.063548
-17451,13227,1.7822,-2.34,0.25539,25.191,0.042138,597.82,-72.343,-233.49,-122.5,-44.344,0,0.495,0.060482,0.061986
-17107,12772,1.8981,-2.3648,-0.12409,25.628,0.042098,608.77,-72.358,-228.57,-123.46,-56.544,0,0.495,0.063508,0.061991
-16086,11734,1.7012,-1.9,-0.97298,25.82,0.041133,627.72,-72.716,-216.87,-114.02,-85.857,0,0.495,0.069547,0.066659
-15635,11092,1.9526,-1.9008,-1.3058,26.581,0.041034,647.79,-72.445,-209.42,-113.06,-102.42,0,0.495,0.072574,0.066664
-15636,11175,1.7865,-1.7425,-1.3605,26.287,0.040679,646.22,-72.607,-209.83,-109.76,-103.73,0,0.495,0.072573,0.068211
-16063,11793,1.5319,-1.7422,-1.0232,25.508,0.040805,625.11,-72.894,-217.32,-110.78,-86.575,0,0.495,0.069547,0.068206
-17055,13457,0.67231,-1.3807,0.4704,22.96,0.041064,559.11,-73.822,-239.5,-102.35,-27.672,0,0.495,0.057481,0.071277
-17145,13451,0.82813,-1.5288,0.50468,23.262,0.041287,563.43,-73.627,-239.05,-105.17,-28.38,0,0.495,0.057457,0.069732
-15816,13558,0.64116,-1.3552,0.91268,22.749,0.041203,552.1,-73.655,-242.37,-100.58,-16.418,0,0.495,0.054455,0.071272
-16717,13568,0.79316,-1.5004,0.94247,23.037,0.041396,556.49,-73.454,-241.99,-103.29,-17.285,0,0.495,0.054432,0.069727
-17229,13438,0.99284,-1.6801,0.53726,23.574,0.041497,568.09,-73.346,-238.57,-107.9,-29.311,0,0.495,0.057446,0.068186
-17039,13209,0.9039,-1.5527,0.083052,23.584,0.041116,573.61,-73.798,-235.15,-107.34,-40.888,0,0.495,0.060482,0.069737
-16835,13571,0.95581,-1.6491,0.97067,23.338,0.041576,561.33,-73.138,-241.58,-105.92,-18.45,0,0.495,0.054421,0.068181
-16961,13226,0.7466,-1.4024,0.045069,23.274,0.04086,569.61,-73.969,-235.64,-104.37,-40.508,0,0.495,0.060503,0.071282
-10077,13569,0.6317,-1.3223,1.3674,22.594,0.041251,547.71,-73.263,-244.46,-97.689,-7.1016,0,0.495,0.051429,0.071266
-8975.9,13541,0.48199,-1.18,1.3417,22.31,0.04106,543.34,-73.5,-244.75,-95.056,-5.884,0,0.495,0.051437,0.072813
-15643,13545,0.48733,-1.2095,0.88253,22.449,0.040989,547.69,-73.879,-242.78,-97.801,-15.363,0,0.495,0.054465,0.072818
-7804.1,13514,0.34082,-1.0405,1.3157,22.036,0.040859,539.31,-73.666,-245.03,-92.394,-4.8897,0,0.495,0.051439,0.07436
155.03,13364,0.37115,-1.0118,1.791,21.977,0.040835,538.19,-73.225,-245.94,-90.243,3.2449,0,0.495,0.048409,0.074354
-174.58,13412,0.50801,-1.1473,1.8141,22.236,0.04102,542.07,-73.05,-245.85,-92.741,2.1696,0,0.495,0.048405,0.072804
-2111.9,13449,0.65499,-1.2861,1.8359,22.507,0.041191,546.4,-72.769,-245.65,-95.19,0.80614,0,0.495,0.048401,0.071256
-14871,13535,0.34375,-1.0669,0.8532,22.163,0.040763,543.69,-74.02,-243.18,-94.965,-14.581,0,0.495,0.054467,0.074365
-11880,13595,0.78097,-1.4643,1.3926,22.87,0.041418,552.16,-73.034,-244.16,-100.3,-8.2006,0,0.495,0.05141,0.069721
-2980.1,13499,0.79924,-1.4241,1.8562,22.767,0.041341,550.7,-72.534,-245.46,-97.754,-0.37566,0,0.495,0.048396,0.069711
-5329.5,13530,0.95393,-1.5656,1.8753,23.039,0.041477,555.46,-72.189,-245.18,-100.2,-1.8831,0,0.495,0.048389,0.068168
-13009,13616,0.93906,-1.6097,1.4162,23.155,0.041573,556.96,-72.716,-243.86,-102.85,-9.5268,0,0.495,0.0514,0.068176
-16952,13458,0.51678,-1.2324,0.43619,22.65,0.04082,554.88,-74.014,-239.99,-99.405,-26.857,0,0.495,0.057492,0.072823
-16880,13251,0.58828,-1.2516,0.0064121,22.952,0.04058,565.62,-74.164,-236.23,-101.37,-39.977,0,0.495,0.060514,0.072828
-16805,13283,0.44029,-1.1039,-0.031573,22.644,0.040291,562.03,-74.28,-236.87,-98.3,-39.682,0,0.495,0.06052,0.074374
-16858,13471,0.36969,-1.0867,0.40275,22.349,0.040565,550.94,-74.151,-240.53,-96.475,-26.238,0,0.495,0.057494,0.074369
-17352,13606,1.1164,-1.7979,0.99632,23.628,0.041733,566.17,-72.88,-241.31,-108.72,-19.435,0,0.495,0.054419,0.066635
-17317,13454,1.1578,-1.8317,0.56767,23.88,0.041684,572.87,-73.097,-238.19,-110.8,-30.138,0,0.495,0.057444,0.066639
-17459,13636,1.288,-1.9507,1.0209,23.931,0.041877,571.45,-72.531,-241,-111.47,-20.756,0,0.495,0.054419,0.065088
-17411,13471,1.332,-1.9871,0.59713,24.194,0.041858,577.99,-72.786,-237.83,-113.69,-31.216,0,0.495,0.057444,0.065092
-17538,13671,1.4576,-2.1041,1.0443,24.223,0.041997,576.78,-72.23,-240.7,-113.96,-21.867,0,0.495,0.05442,0.063538
-16886,13730,1.4289,-2.055,1.4763,23.998,0.04192,572.46,-71.724,-243.08,-110.44,-13.565,0,0.495,0.051394,0.063534
-15659,13691,1.2629,-1.9047,1.4577,23.719,0.041824,567.1,-72.06,-243.38,-108.04,-12.234,0,0.495,0.051393,0.065083
-11525,13658,1.4283,-1.9987,1.9216,23.835,0.041768,570.66,-71.114,-244.56,-107.44,-6.2628,0,0.495,0.048366,0.06353
-13057,13711,1.5998,-2.1499,1.9338,24.109,0.041829,576.37,-70.641,-244.54,-109.94,-8.1093,0,0.495,0.048358,0.061975
-17082,13791,1.6045,-2.2105,1.4919,24.286,0.042,578.23,-71.264,-243.17,-113.46,-15.236,0,0.495,0.0514,0.061974
-9065.3,13610,1.2685,-1.8526,1.9082,23.573,0.04169,565.43,-71.471,-244.76,-105.04,-4.8281,0,0.495,0.048369,0.065077
-17702,13723,1.6389,-2.2633,1.0646,24.528,0.042101,582.59,-71.773,-240.74,-117.39,-23.359,0,0.495,0.05443,0.061978
-15168,13659,1.0964,-1.7553,1.4378,23.432,0.041706,561.85,-72.427,-243.65,-105.46,-10.739,0,0.495,0.051395,0.066629
-7325.9,13577,1.1058,-1.707,1.8927,23.3,0.041591,560.21,-71.886,-245.01,-102.69,-3.18,0,0.495,0.048376,0.066623
-17467,13489,1.5066,-2.1434,0.62584,24.501,0.042008,583.25,-72.497,-237.46,-116.28,-32.152,0,0.495,0.057446,0.063543
-17624,13534,1.6912,-2.3052,0.65146,24.818,0.042141,588.93,-72.078,-237.53,-119.82,-33.398,0,0.495,0.057456,0.061982
