trial_name,trial_status,TOTAL_RMSE,betaStar,sigmaOmega1,sigmaOmega2
manual_doe_trial_0,COMPLETED,15.738115318972241,0.05,0.5,0.856
manual_doe_trial_1,COMPLETED,15.68578313834296,0.07,0.5,0.856
manual_doe_trial_2,COMPLETED,17.105959485141728,0.11,0.5,0.856
manual_doe_trial_3,COMPLETED,17.81487118456522,0.13,0.5,0.856
manual_doe_trial_4,COMPLETED,15.616046581853928,0.09,0.4,0.856
manual_doe_trial_5,COMPLETED,16.05230702393838,0.09,0.45,0.856
manual_doe_trial_6,COMPLETED,16.766228406188006,0.09,0.55,0.856
manual_doe_trial_7,COMPLETED,15.549281799524037,0.09,0.6,0.856
manual_doe_trial_8,COMPLETED,15.525000032954253,0.09,0.5,0.712
manual_doe_trial_9,COMPLETED,15.630274008116832,0.09,0.5,0.784
manual_doe_trial_10,COMPLETED,16.07835937137351,0.09,0.5,0.928
manual_doe_trial_11,COMPLETED,16.156541253958142,0.09,0.5,1.0
manual_doe_custom_0,COMPLETED,15.52580574577792,0.09,0.5,0.856
manual_doe_custom_1,COMPLETED,15.650727072604735,0.05,0.4,0.712
